1663599	31924060173378	juz2 	1972	ir 	0  Anistās Mārī, al-Karmilī, ab, 1846 or 1847-1946 or 1947.		13 al-Musāʻid / taʼlīf al-ab Anastās Mārī al-Kirmilī ; ḥaqqaqahu wa-ʻallaqa ʻalá fahārisih Kūrkīs ʻAwwād, ʻAbd al-Ḥamīd al-ʻAlwajī.	   Baghdād : Wizārat al-Iʻlām, 1972-	  |v. ;|30 cm.	   Added t.p.: al-Musāʼid, being the detailed Arabic dictionary, by Anastase-Marie de St. Élie.|   Bibliography: v. 1, p. 79-84.|   Includes indexes.	 0 Arabic language Dictionaries.	Oversize PJ6622 .A53 +	olin				cornell_aco_0011
1847446	31924059027130	juz2 	1980	ir 	1  Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?	10 Mukhtaṣar	10 Shurūḥ al-talkhīṣ : wa-hiya mukhtaṣar al-ʻallāmah Saʻd al-Dīn al-Taftāzānī ʻalá Talkhīṣ al-miftāḥ lil-Khaṭīb al-Qazwīnī ; wa-Mawāhib al-fattāḥ fī sharḥ Talkhīṣ al-Miftāḥ li-Bahāʾ al-Dīn al-Subkī ... / [Saʻd al-Dīn al-Taftāzānī].	   [Qum] : Nashr Adab al-Ḥawzah, [198-?]	  |4 v. ;|30 cm.	   Partially vocalized.	 0 Arabic language Rhetoric.|10 Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 8-1338.  Talkhīṣ al-miftāḥ.	Oversize PJ6161 .T12 1980z +	olin				cornell_aco_0044
1847446	31924059027148	juz3 	1980	ir 	1  Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?	10 Mukhtaṣar	10 Shurūḥ al-talkhīṣ : wa-hiya mukhtaṣar al-ʻallāmah Saʻd al-Dīn al-Taftāzānī ʻalá Talkhīṣ al-miftāḥ lil-Khaṭīb al-Qazwīnī ; wa-Mawāhib al-fattāḥ fī sharḥ Talkhīṣ al-Miftāḥ li-Bahāʾ al-Dīn al-Subkī ... / [Saʻd al-Dīn al-Taftāzānī].	   [Qum] : Nashr Adab al-Ḥawzah, [198-?]	  |4 v. ;|30 cm.	   Partially vocalized.	 0 Arabic language Rhetoric.|10 Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 8-1338.  Talkhīṣ al-miftāḥ.	Oversize PJ6161 .T12 1980z +	olin				cornell_aco_0045
1847446	31924059027155	juz4 	1980	ir 	1  Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?	10 Mukhtaṣar	10 Shurūḥ al-talkhīṣ : wa-hiya mukhtaṣar al-ʻallāmah Saʻd al-Dīn al-Taftāzānī ʻalá Talkhīṣ al-miftāḥ lil-Khaṭīb al-Qazwīnī ; wa-Mawāhib al-fattāḥ fī sharḥ Talkhīṣ al-Miftāḥ li-Bahāʾ al-Dīn al-Subkī ... / [Saʻd al-Dīn al-Taftāzānī].	   [Qum] : Nashr Adab al-Ḥawzah, [198-?]	  |4 v. ;|30 cm.	   Partially vocalized.	 0 Arabic language Rhetoric.|10 Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 8-1338.  Talkhīṣ al-miftāḥ.	Oversize PJ6161 .T12 1980z +	olin				cornell_aco_0046
1847446	31924059027163	juz1 	1980	ir 	1  Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?	10 Mukhtaṣar	10 Shurūḥ al-talkhīṣ : wa-hiya mukhtaṣar al-ʻallāmah Saʻd al-Dīn al-Taftāzānī ʻalá Talkhīṣ al-miftāḥ lil-Khaṭīb al-Qazwīnī ; wa-Mawāhib al-fattāḥ fī sharḥ Talkhīṣ al-Miftāḥ li-Bahāʾ al-Dīn al-Subkī ... / [Saʻd al-Dīn al-Taftāzānī].	   [Qum] : Nashr Adab al-Ḥawzah, [198-?]	  |4 v. ;|30 cm.	   Partially vocalized.	 0 Arabic language Rhetoric.|10 Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 8-1338.  Talkhīṣ al-miftāḥ.	Oversize PJ6161 .T12 1980z +	olin				cornell_aco_0047
1880875	31924060172727	juz2 	1972	ir 			03 al-Muʻjam al-wasīṭ / qāma bi-ikhrāj hādhihi al-ṭabʻah Ibrāhīm Anīs ... [et al.].	   Ṭihrān, Īrān : Intishārāt Nāṣir Khusraw, [1972?]	  |2 v. (16, 1067 p.) :|ill. ;|30 cm.	   At head of title: Majmaʻ al-Lughah al-ʻArabīyah.	 0 Arabic language Dictionaries Early works to 1800.	Oversize PJ6622 .M95 +	olin				cornell_aco_0051
1880875	31924060172735	juz1 	1972	ir 			03 al-Muʻjam al-wasīṭ / qāma bi-ikhrāj hādhihi al-ṭabʻah Ibrāhīm Anīs ... [et al.].	   Ṭihrān, Īrān : Intishārāt Nāṣir Khusraw, [1972?]	  |2 v. (16, 1067 p.) :|ill. ;|30 cm.	   At head of title: Majmaʻ al-Lughah al-ʻArabīyah.	 0 Arabic language Dictionaries Early works to 1800.	Oversize PJ6622 .M95 +	olin				cornell_aco_0052
1880882	31924059115828	juz1 	1980	ir 	1  Azharī, Khālid ibn ʻAbd Allāh, -1499.	10 Taṣrīḥ ʻalá al-Tawḍīḥ	10 Sharḥ al-Taṣrīḥ ʻalá al-tawḍīḥ / li-Khālid ibn ʻAbd Allāh al-Azharī ʻalá Alfiyat ibn Mālik fī al-naḥw wa-al-ṣarf li-Jamāl al-Dīn Abī Muḥammad ibn ʻAbd Allāh ibn Yūsuf Hishām al-Anṣarī; wa-bi-hāmishihi ḥāshiyatuhu Yāsīn ibn Zayn al-Dīn al-ʻUlaymī al-Ḥimṣī.	   Tihrān: Nāṣir-i Khusraw, [198-?]	  |2 v. ;|30 cm.		10 Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360. Awḍaḥ al-masālik ilá Alfiyat Ibn Mālik.| 0 Arabic language Grammar.	Oversize PJ6101.I193 .A99 +	olin				cornell_aco_0053
1880882	31924059115836	juz2 	1980	ir 	1  Azharī, Khālid ibn ʻAbd Allāh, -1499.	10 Taṣrīḥ ʻalá al-Tawḍīḥ	10 Sharḥ al-Taṣrīḥ ʻalá al-tawḍīḥ / li-Khālid ibn ʻAbd Allāh al-Azharī ʻalá Alfiyat ibn Mālik fī al-naḥw wa-al-ṣarf li-Jamāl al-Dīn Abī Muḥammad ibn ʻAbd Allāh ibn Yūsuf Hishām al-Anṣarī; wa-bi-hāmishihi ḥāshiyatuhu Yāsīn ibn Zayn al-Dīn al-ʻUlaymī al-Ḥimṣī.	   Tihrān: Nāṣir-i Khusraw, [198-?]	  |2 v. ;|30 cm.		10 Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360. Awḍaḥ al-masālik ilá Alfiyat Ibn Mālik.| 0 Arabic language Grammar.	Oversize PJ6101.I193 .A99 +	olin				cornell_aco_0054
1909429	31924074332358	juz2 	1901	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá  Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [S.l. : s.n. ; 1901 or 2] ([Cairo : al-Maṭbaʻah al-Sharafīyah])	  |4 v. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar	Oversize PJ6101.I23 S12 1901a +	olin				cornell_aco_0059
1909429	31924074332473	juz4 	1901	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá  Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [S.l. : s.n. ; 1901 or 2] ([Cairo : al-Maṭbaʻah al-Sharafīyah])	  |4 v. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar	Oversize PJ6101.I23 S12 1901a +	olin				cornell_aco_0060
