1621570	31924075853014	 	1981	ir 	0  M. ʻA. T. (Taraqqī, Muḥammad ʻAlī)		10 Farhang-i Khayyām, ʻArabī-Fārsī : shāmil-i 45 hazār vāzh-i muṣṭalah-i Fārsī, ʻArabī, Turkī bi-z̤amīnah-ʾi farhang-i lughat-i pazīraftah shuda Urūpāʾī va vazhahʹhā-yi naw-i Farhangistān / taʾlīf, M.ʻA.T. [Muḥammad ʻAlī Taraqqī].	   [Tehran] : Kitābfurūshī-i Khayyām, 1359 [1981]	  |672 p. ;|15 cm.	   Arabic and Persian.	 4 Arabic language dictionaries Persian.	PJ6636.P4 T17 1981	olin,anx				cornell_aco_0005
1670035	31924059956189	 	1926	ua 	1  Ibn Sahl al-Isrāʼīlī, Ibrāhīm, -1251 or 1252.		10 Dīwān Ibn Sahl al-Andalūsī / jamaʻahu wa-rattabahu wa-ḍabaṭahu Aḥmad Ḥasanīn al-Qarnī.	   [Cairo] : al-Maktabah al-ʻArabīyah, 1926.	  |124 p. ;|20 cm.			PJ7755.I138 A17	olin				cornell_aco_0012
1886001	31924067136519	v.2 	1900	ua 	1  Dīb, Badr.		10 Iʻādat ḥikāyat Ḥāsib Karīm al-Dīn wa-Malikat al-ḥayyāt / Badr al-Dīb.	   al-Ṣuḥufīyīn [Cairo] : Manshūrāt Aṣdiqāʾ al-Kitāb, <1990-   	  |v. ;|24 cm.	   "Fī al-qism al-thānī istakhdamtu al-maktūb fī alf laylah wa-laylah"--v. 2, p. [4] of cover.|1      -- kitāb 2. Warāʾ al-kaynūnah.		PJ7712.A1 D54	olin				cornell_aco_0056
1919732	31924068105356	 	1907	ua 	1  Ibn Rashīq al-Qayrawānī, al-Ḥasan, -1064?		13 al-ʻUmdah fī ṣināʻat al-shiʻr wa-naqdih / taʼlīf Abī ʻAlī al-Ḥasan ibn Rashīq al-Qayrawānī ; ʻuniya bi-taṣḥīḥih Muḥammad Badr al-Dīn al-Naʻsānī al-Ḥalabī.	   [Cairo] : Maṭbaʻat al-Saʻādah, 1907.	  |2 v. in 1 ;|24 cm.	   Includes bibliographical references.	 0 Arabic poetry History and criticism Early works to 1800.	PJ7541.I137 U48 1907	olin				cornell_aco_0072
1924073	31924074282520	 	1924	le 	1  Cheikho, Louis, 1859-1927.		13 al-Ādāb al-ʻArabīyah fī al-qarn al-tāsiʻ ʻashar / li-Luwīs Shaykhū.	   Bayrūt, al-Maṭbaʻah al-Kāthūlīki︠yah lil-Ābāʾ al-Yasūʻīyīn, 1924-26.	  |2 v. in 1|25 cm.	   Introds. in Arabic and French.|   Added t.p.: La littérature arabe au XIXe siècle, par L. Cheikho.|   "Naqlan ʻan majallat al-Mashriq."|   Photocopy. [Ithaca, N.Y.] : Ridley's Book Bindery, 1992. 24 cm.|   Includes bibliographical references and indexes.|0  juzʾ 1. 1800-1870.--juzʾ 2. 1870-1900.	 0 Arabic literature 1801- History and criticism.	PJ7538 .C51 1924a	olin				cornell_aco_0082
1930284	31924067532246	juz9 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0094
1930284	31924067532253	juz11 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0095
1930284	31924067532261	juz12 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0096
1930284	31924067532279	juz10 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0097
1930284	31924067532485	juz13 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0103
1930284	31924067532493	juz14 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0104
