1910624	31924068104052	juz2 	1913	ua 	1  Ābī al-Azharī, Ṣāliḥ ʻAbd al-Samīʻ.		10 Jawāhir al-iklīl : sharḥ mukhtaṣar / ʻAbd al-Samīʻ al-Ābīal-Azharī.	   [al-Qāhirah] : Dār Iḥyāʹ al-Kutub al-ʻArabīyah, [1913 or14?]	  |2 v.;|28 cm.		00 Khalīl ibn Isḥāq al-Jundī, -1365? Mukhtaṣar.| 0 Malikites.| 0 Islamic law.	Oversize BP130 .A14 +	olin				cornell_aco_0196
1910624	31924068104060	juz1 	1913	ua 	1  Ābī al-Azharī, Ṣāliḥ ʻAbd al-Samīʻ.		10 Jawāhir al-iklīl : sharḥ mukhtaṣar / ʻAbd al-Samīʻ al-Ābīal-Azharī.	   [al-Qāhirah] : Dār Iḥyāʹ al-Kutub al-ʻArabīyah, [1913 or14?]	  |2 v.;|28 cm.		00 Khalīl ibn Isḥāq al-Jundī, -1365? Mukhtaṣar.| 0 Malikites.| 0 Islamic law.	Oversize BP130 .A14 +	olin				cornell_aco_0197
1923650	31924074315106	v.2 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0201
1923650	31924074315114	v.3 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0202
1923650	31924074315122	v.4 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0203
1923650	31924074315130	v.5 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0204
1923650	31924074315247	v.1 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0200
1923650	31924074315254	v.6 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0205
1923650	31924074315262	v.7 	1905	ua 	1  Saḥnūn, ʻAbd al-Salām ibn Saʻīd, 776 or 777-854.	10 Mudawwanah al-kubrá	10 Mudawwanah al-kubrá li-Imam Mālik ibn Anas al-Aṣbaḥī, riwāyat Saḥnūn ibn Saʻīd al-Tunūkhī ʻan ʻAbd al-Raḥmān ibn al-Qāsim al-ʻUtaqī ; muqaddamāt Ibn Rashd.	   Miṣr, Maṭbaʻat al-Saʻādah, 1323 [1905]	  |16 v. in 7. ;|26 cm.	   Photocopy. [s.l.] : BookLab, 1992. 27 cm.	10 Mālik ibn Anas, -795.| 0 Malikites Early works to 1800.| 0 Islamic law Early works to 1800.| 0 Islam Customs and practices.	Oversize BP154.M25 S13 1905a +	olin				cornell_aco_0206
4085966	31924097311835	v.1 	1891	ua 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.		13 al-Kashshāf ʻan ḥaqāʼiq al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / li-Abī al-Qāsim jār Allāh Maḥmūd ibn ʻUmar al-Zamakhsharī al-khawārizmī. Wa-maʻahu al-ḥāshiyah al-fāʼiqah dhāt al-maʻānī al-bāhirah wa-al-taqārīr al-rāʼiqah / lil-ʻālim al-ʻallāmah al-Sayyid al-sharīf al-muḥaqqiq ʻAlī ibn Muḥammad ibn ʻAlī al-Sayyid Zayn al-Dīn Abī al-Ḥasan al-Ḥusaynī al-Jurjānī. Wa-bi-al-hāmish al-kitāb al-jalīl al-musammá bi-al-Intiṣāf / lil-Imām Nāsir al-Dīn Aḥmad ibn Muḥammad ibn al-Munīr al-Iskandarī al-Mālikī. Wa-bi-al-hāmish ayḍan al-Qurʼān al-ʻaẓīm bi-tamāmihi. Wa-qad dhuyyila bi-kitāb tanzīl al-āyāt ʻalá al-shawāhid min al-abyāt / li-Muḥibb al-Dīn Afandī, wa-huwa sharḥ mūjaz balīgh ʻalá abyāt shawāhid al-kashshāf.	   Būlāq : Maṭbaʻat Muḥammad Muṣṭafá, 1308 [1891]	  |v. ;|28 cm.	   Text of al-Kashshāf edited by Ibrāhīm al-Dasūqī.	00 Qurʼan Commentaries.	Oversize BP130.4 .Z23 1891a +	olin				cornell_aco_0198
4085966	31924097311843	v.2 	1891	ua 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.		13 al-Kashshāf ʻan ḥaqāʼiq al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / li-Abī al-Qāsim jār Allāh Maḥmūd ibn ʻUmar al-Zamakhsharī al-khawārizmī. Wa-maʻahu al-ḥāshiyah al-fāʼiqah dhāt al-maʻānī al-bāhirah wa-al-taqārīr al-rāʼiqah / lil-ʻālim al-ʻallāmah al-Sayyid al-sharīf al-muḥaqqiq ʻAlī ibn Muḥammad ibn ʻAlī al-Sayyid Zayn al-Dīn Abī al-Ḥasan al-Ḥusaynī al-Jurjānī. Wa-bi-al-hāmish al-kitāb al-jalīl al-musammá bi-al-Intiṣāf / lil-Imām Nāsir al-Dīn Aḥmad ibn Muḥammad ibn al-Munīr al-Iskandarī al-Mālikī. Wa-bi-al-hāmish ayḍan al-Qurʼān al-ʻaẓīm bi-tamāmihi. Wa-qad dhuyyila bi-kitāb tanzīl al-āyāt ʻalá al-shawāhid min al-abyāt / li-Muḥibb al-Dīn Afandī, wa-huwa sharḥ mūjaz balīgh ʻalá abyāt shawāhid al-kashshāf.	   Būlāq : Maṭbaʻat Muḥammad Muṣṭafá, 1308 [1891]	  |v. ;|28 cm.	   Text of al-Kashshāf edited by Ibrāhīm al-Dasūqī.	00 Qurʼan Commentaries.	Oversize BP130.4 .Z23 1891a +	olin				cornell_aco_0199
