1677788	31924060173238	juz1 	1967	iq 	1  Iṣfahānī, Maḥmūd ibn al-Mahdī.		10 Miftāḥ al-kutub al-arbaʻah.	   [al-Najaf : s.n.]; 1967- (al-Najaf : Maṭbaʻat al-Ādāb)	  |v. ;|facsim. ;|25 cm.		 0 Hadith Indexes.	BP135.2 .I78	olin				cornell_aco_0260
1818492	31924059307383	juz5 	1985	ir 	1  Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209.		13 al-Nihāyah fī gharīb al-Ḥadīth wa-al-athar / li-Majd al-Dīn Abī al-Saʻādāt al-Mubārak ibn Muḥammad al-Jazarī ibn al-Athīr ; taḥqīq Ṭāhir Aḥmad al-Zāwī, Maḥmūd Muḥammad al-Ṭanāḥī.	   Qum,  Īrān : Muʾassasat Ismāʻīliyān, 1364 [1985]	  |5 v. ;|25 cm.	   Vols. 4-5 edited by al-Ṭanāḥī alone.|   Reprint. Originally published: 1963.|   Includes bibliographical references and indexes.	 0 Hadith Dictionaries Arabic.	BP135.2 .I13 1985	olin				cornell_aco_0262
1818492	31924059307391	juz4 	1985	ir 	1  Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209.		13 al-Nihāyah fī gharīb al-Ḥadīth wa-al-athar / li-Majd al-Dīn Abī al-Saʻādāt al-Mubārak ibn Muḥammad al-Jazarī ibn al-Athīr ; taḥqīq Ṭāhir Aḥmad al-Zāwī, Maḥmūd Muḥammad al-Ṭanāḥī.	   Qum,  Īrān : Muʾassasat Ismāʻīliyān, 1364 [1985]	  |5 v. ;|25 cm.	   Vols. 4-5 edited by al-Ṭanāḥī alone.|   Reprint. Originally published: 1963.|   Includes bibliographical references and indexes.	 0 Hadith Dictionaries Arabic.	BP135.2 .I13 1985	olin				cornell_aco_0263
1818492	31924059307409	juz3 	1985	ir 	1  Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209.		13 al-Nihāyah fī gharīb al-Ḥadīth wa-al-athar / li-Majd al-Dīn Abī al-Saʻādāt al-Mubārak ibn Muḥammad al-Jazarī ibn al-Athīr ; taḥqīq Ṭāhir Aḥmad al-Zāwī, Maḥmūd Muḥammad al-Ṭanāḥī.	   Qum,  Īrān : Muʾassasat Ismāʻīliyān, 1364 [1985]	  |5 v. ;|25 cm.	   Vols. 4-5 edited by al-Ṭanāḥī alone.|   Reprint. Originally published: 1963.|   Includes bibliographical references and indexes.	 0 Hadith Dictionaries Arabic.	BP135.2 .I13 1985	olin				cornell_aco_0264
1818492	31924059307425	juz1 	1985	ir 	1  Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209.		13 al-Nihāyah fī gharīb al-Ḥadīth wa-al-athar / li-Majd al-Dīn Abī al-Saʻādāt al-Mubārak ibn Muḥammad al-Jazarī ibn al-Athīr ; taḥqīq Ṭāhir Aḥmad al-Zāwī, Maḥmūd Muḥammad al-Ṭanāḥī.	   Qum,  Īrān : Muʾassasat Ismāʻīliyān, 1364 [1985]	  |5 v. ;|25 cm.	   Vols. 4-5 edited by al-Ṭanāḥī alone.|   Reprint. Originally published: 1963.|   Includes bibliographical references and indexes.	 0 Hadith Dictionaries Arabic.	BP135.2 .I13 1985	olin				cornell_aco_0266
1818492	31924059307433	juz2 	1985	ir 	1  Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209.		13 al-Nihāyah fī gharīb al-Ḥadīth wa-al-athar / li-Majd al-Dīn Abī al-Saʻādāt al-Mubārak ibn Muḥammad al-Jazarī ibn al-Athīr ; taḥqīq Ṭāhir Aḥmad al-Zāwī, Maḥmūd Muḥammad al-Ṭanāḥī.	   Qum,  Īrān : Muʾassasat Ismāʻīliyān, 1364 [1985]	  |5 v. ;|25 cm.	   Vols. 4-5 edited by al-Ṭanāḥī alone.|   Reprint. Originally published: 1963.|   Includes bibliographical references and indexes.	 0 Hadith Dictionaries Arabic.	BP135.2 .I13 1985	olin				cornell_aco_0265
1820099	31924059307284	muj.2 	1983	ir 	1  Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473.		10 ʻAwālī al-laʼālī al-ʻazīzīyah fī al-aḥādīth al-dīnīyah / li-Muḥammad ibn ʻAlī ibn Ibrāhīm al-Aḥsāʼī al-maʻrūf bi-Ibn Abī Jumhūr ; qaddama lahu Shihāb al-Dīn al-Najafī al-Marʻashī ; taḥqīq Mujtabá al-ʻIrāqī.	   Qum, Īrān : Maṭbaʻat Sayyid al-Shuhadāʼ, 1983-1985.	  |4 v. :|facsims., port. ;|25 cm.	   Includes bibliographical references.	 0 Hadith Early works to 1800.	BP135.A3 A29	olin				cornell_aco_0269
1820099	31924059307342	muj.1 	1983	ir 	1  Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473.		10 ʻAwālī al-laʼālī al-ʻazīzīyah fī al-aḥādīth al-dīnīyah / li-Muḥammad ibn ʻAlī ibn Ibrāhīm al-Aḥsāʼī al-maʻrūf bi-Ibn Abī Jumhūr ; qaddama lahu Shihāb al-Dīn al-Najafī al-Marʻashī ; taḥqīq Mujtabá al-ʻIrāqī.	   Qum, Īrān : Maṭbaʻat Sayyid al-Shuhadāʼ, 1983-1985.	  |4 v. :|facsims., port. ;|25 cm.	   Includes bibliographical references.	 0 Hadith Early works to 1800.	BP135.A3 A29	olin				cornell_aco_0268
1820099	31924059307359	muj.3 	1983	ir 	1  Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473.		10 ʻAwālī al-laʼālī al-ʻazīzīyah fī al-aḥādīth al-dīnīyah / li-Muḥammad ibn ʻAlī ibn Ibrāhīm al-Aḥsāʼī al-maʻrūf bi-Ibn Abī Jumhūr ; qaddama lahu Shihāb al-Dīn al-Najafī al-Marʻashī ; taḥqīq Mujtabá al-ʻIrāqī.	   Qum, Īrān : Maṭbaʻat Sayyid al-Shuhadāʼ, 1983-1985.	  |4 v. :|facsims., port. ;|25 cm.	   Includes bibliographical references.	 0 Hadith Early works to 1800.	BP135.A3 A29	olin				cornell_aco_0270
1820099	31924059307516	muj.4 	1983	ir 	1  Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473.		10 ʻAwālī al-laʼālī al-ʻazīzīyah fī al-aḥādīth al-dīnīyah / li-Muḥammad ibn ʻAlī ibn Ibrāhīm al-Aḥsāʼī al-maʻrūf bi-Ibn Abī Jumhūr ; qaddama lahu Shihāb al-Dīn al-Najafī al-Marʻashī ; taḥqīq Mujtabá al-ʻIrāqī.	   Qum, Īrān : Maṭbaʻat Sayyid al-Shuhadāʼ, 1983-1985.	  |4 v. :|facsims., port. ;|25 cm.	   Includes bibliographical references.	 0 Hadith Early works to 1800.	BP135.A3 A29	olin				cornell_aco_0271
4432530	31924029183386	 	1964	iq 	1  Ḥurr al-ʻĀmilī, Muḥammad ibn al-Ḥasan, 1624-1693.		13 al-Jawāhir al-sanīyah fī al-aḥādīth al-qudsīyah / jamaʻahu Muḥammad ibn al-Ḥasan ibn ʻAlī ibn al-Ḥusayn al-Ḥurr al-ʻĀmilī.	   Baghdād : al-Maktabah al-ʻIlmīyah, 1964.	  |376 p. ;|22 cm.		 0 Hadith.	BP135.A2 H96 1964	olin				cornell_aco_0261
