1681402	31924067713838	 	1923	sy 	1  Bānī, Muḥammad Saʻīd.		10 ʻUmdat al-taḥqīq fī al-taqlīd wa-al-talfīq : wa-huwa farīdah wajīzat al-mabná ... / athar Muḥammad Saʻīd al-Bānī.	   Dimashq : Maṭbaʻat al-Ḥukūmah, 1923.	  |217, 9 p. ;|23 cm.	   "Wa-qad dhuyyilat bi-ḥawāshin mufīdah bi-qalam al-muʾallif." 	 0 Islamic law Interpretation and construction.	BP144 .B21	olin				cornell_aco_0287
1681684	31924051450173	v.1 	1951	ua 	1  Makhlūf, Ḥasanayn Muḥammad, 1890-		10 Fatāwá sharʻīyah wa-buḥūth Islāmīyah / bi-qalam Ḥasanayn Muḥammad Makhluf.	   Miṣr : Dār al-Kitāb al-ʻArabī, 1951-1952.	  |2 v. ;|20-21 cm.	   Title page partially vocalized.|   Includes bibliographical references.	 0 Fatwas.| 0 Islamic law Interpretation and construction.	BP153.M24 F3 1951	olin				cornell_aco_0289
1846955	31924059307524	juz1 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0276
1846955	31924059307532	juz2 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0277
1846955	31924059307540	juz3 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0278
1846955	31924059307557	juz4 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0279
1846955	31924059307565	juz6 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0281
1846955	31924059307573	juz5 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0280
1846955	31924059307581	juz7 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0282
1846955	31924059307599	juz9 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0284
1846955	31924059307607	juz8 	1975	ir 	1  Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559.		13 al-Rawḍah al-bahīyah fī sharḥ al-Lumʻah al-Dimashqīyah / lil-shahīd Zayn al-Dīn al-Jabʻī al-ʻĀmilī (al-Shahīd al-Thānī).	   Qum : Intishārāt wa-Chāpkhānah ʻIlmīyah, 1395-1396 [1975-1976]	  |10 v. ;|24 cm.	   Cover title, spine title, running title, and title on additional t.p.: al-Lumʻah al-Dimashqīyah.	10 Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 4-1380.      Lumʻah al-Dimashqīyah.| 0 Islamic law Interpretation and construction Early works to 1800.| 0 Shiites Early works to 1800.	BP156 .S52 1975	olin				cornell_aco_0283
