29702	31924000075923	 	1960	iq 	1  Allūs, Bashīr.		10 Birds of Iraq.	   Baghdad, Ar-Rabitta Press, 1960-62.	  |3 v. in 1.|illus., col. plates.|24 cm.	   Cover title.|   Introductory matter in English; text in Arabic; names of birds in English, Latin and Arabic.	 0 Birds Iraq.| 7 Birds fast (OCoLC)fst00832970| 7 Iraq fast (OCoLC)fst01205757	QL691.I7 A44	mann,anx				cornell_aco_0419
114009	31924000358261	 	1952	le 	1  Malouf, Timothy Philip.		10 Fruiting trees. I. Apples.	   Beirut, 1952.	  |xiii, 333 p.|illus. (pt. col.)|24 cm.	   At head of title: Lebanese Republic. Ministry of Agriculture.|   Title and text in Arabic; translated title used.	 0 Fruit-culture Lebanon.| 0 Apples Lebanon.	SB357 .M26	mann,anx				cornell_aco_0417
1742300	31924063207421	 	1950	ua 	1  Labbān, Ibrāhīm ʻAbd al-Majīd.		13 al-Falsafah wa-al-mujtamaʻ al-Islāmī / taʾlīf Ibrāhīm ʻAbd al-Majīd al-Labbān.	   al-Qāhirah : Maktabat al-Nahḍah al-Miṣrīyah, 1950.	  |205 p. ;|25 cm.		 0 Islam and philosophy.	B165 .L12	olin,anx				cornell_aco_0412
1910203	31924059458988	muj.1 	1959	ir 	1  Tustarī, Muḥammad Taqī.		10 Qāmūs al-rijāl : qāmūs ʻāmm li-aḥwāl jamīʻ ruwāt al-Shīʻah wa-muḥadithīhim bi-sabk badīʻ daqīq lam yasbiqahu ghayruh min kutub al-rijāl / taʾlīf Muḥammad Taqī al-Dīn al-Tustarī.	   Tihrān : Markaz Nashr al-Kitāb, 1959/60-	  |v. ;|23 cm.		 0 Shiites Biography.	BP193 .T97 1959	olin,anx				cornell_aco_0413
1910203	31924059956346	muj.2 	1959	ir 	1  Tustarī, Muḥammad Taqī.		10 Qāmūs al-rijāl : qāmūs ʻāmm li-aḥwāl jamīʻ ruwāt al-Shīʻah wa-muḥadithīhim bi-sabk badīʻ daqīq lam yasbiqahu ghayruh min kutub al-rijāl / taʾlīf Muḥammad Taqī al-Dīn al-Tustarī.	   Tihrān : Markaz Nashr al-Kitāb, 1959/60-	  |v. ;|23 cm.		 0 Shiites Biography.	BP193 .T97 1959	olin,anx				cornell_aco_0414
1910206	31924060327594	 	1955	ua 	1  Badawī, ʾAbd al-Raḥmān.		13 al-Zamān al-wujūdī / taʾlīf ʻAbd al-Raḥmān Badawī.	   al-Qāhirah : Maktabat al-Nahḍah al-ʻArabiyah, 1955.	  |271 p. ;|24 cm.	   Includes bibliographical references (p. 262-264) and indexes.|   Added t.p.: Le temps existentiel, par 'Abdurraḥmān Badawi.	 0 Metaphysics.| 0 Space and time.	BD118.A7 B13	olin,anx				cornell_aco_0411
2865257	31924024948485	 	1969	iq 	1  Naṣr Allāh, Murtaḍá Nāṣir.		13 al-Sharikāt al-tijārīyah / Murṭadā Nāṣir Naṣr Allāh.	   Baghdād : Maṭbaʻat al-Irshād, 1969.	  |306 p. ;|24 cm.	   Includes index.|   Bibliography: p. 386-387.	 0 Corporation law Iraq.	KMJ1050 .N26 1969	law				cornell_aco_0401
2865286	31924024948766	 	1970	iq 	1  Ṭāhā, Ghanī Ḥassūn, 1927-		13 al-Wajīz fī al-ʻuqūd al-musammāh  [taʾlīf] Ghanī Ḥassūn Ṭāhā.	   Baghdād, Maṭbaʻat al-Maʻārif 1969-70-	  |v. |25 cm.	   Cover title: Précis des contrats nommés, par Ghani H. Taha.|   Biblioraphy: v. 1, p. 404-408.|1  juzʾ 1. ʻAqd al-bayʻ --	 0 Contracts Egypt.	KRM858 .T124 1969	law				cornell_aco_0404
2884249	31924025054267	 	1953	ua 	1  Barsūm, Sulaymān Tādrus.		10 Ijrāʾāt al-ithbāt fī qānūn al-murafaʻāt / taʾlīf Sulaymān Tādrus Barsūm.	   al-Iskandarīyah : al-Dār al-Miṣrīyah lil-Ṭibāʻah wa-al-Nashr, 1953.	  |242 p. ;|24 cm.	   Bibliographical footnotes.	 0 Evidence (Law) Egypt.| 0 Civil procedure Egypt.| 0 Evidence Egypt.	KRM1771 .B28 1953	law				cornell_aco_0403
2884517	31924080467131	v.1 	1963	sy 	1  Khatīb, ʻAdnān 1915-		10 Mūjaz al-qānūn al-jazāʾī / taʾlīf ʻAdnān al-Khaṭīb.	   Dimashq : Maṭabʻat al-Jāmiʻah, 1963-	  |   v. ;|25 cm.	   Bibliographical footnotes.|0  Kitābat 1. al-Mubādīʻ al-ʻāmmah fī qānūn al-Maʻqūbāt.	 0 Criminal law Syria.	KMU379.5 .K45 1963	law				cornell_aco_0405
2884930	31924025057229	 	1970	iq 	1  al-Dhannūn, Hasan ʻAlī.		10 Uṣūl al-iltizām : sharḥ al-qānūn al-madanī / [taʾlīf] Ḥasan ʻAlī al-Dhannūn.	   Baghdād : Maṭabʻah al-Muʻārif, 1970.	  |343 p. ;|25 cm.	   Includes bibliographical references.|   Muḥāḍarāt ... ulqiyathā ʻalá ṭalibat qism al-qānūn fī Jāmiʻat Baghdād wa-al-Jāmiʻah al-Mustanṣarīyah.	 0 Obligations (Law) Iraq.	KMJ810 .D53 1970	law				cornell_aco_0402
