1910691	31924068105489	juz9 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0424
1910691	31924068105646	juz10 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0421
1910691	31924068105794	juz1 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0423
1910691	31924068105802	juz8 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0422
1910691	31924068105810	juz7 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0425
1919123	31924060316142	juz1/1 	1954	iq 	1  Āghā Buzurg al-Ṭihrānī, Muḥammad Muḥsin, 1875-1970.		10 Ṭabaqāt aʻlām al-Shīʻah / taʾlīf Āghā Buzurg al-Ṭihrānī.	   [S.l. : s.n., 1954-1958] (Najaf : al-Matḅaʻah al-ʻIlmīyah)	  |2 v. in 4. ;|25 cm.		 0 Shiites Biography.	BP193.A26 T12	olin,anx				cornell_aco_0436
1926592	31924060316035	 	1911	ua 	1  Batanūnī, Muḥammad Labīb.		13 al-Riḥlah al-Ḥijāzīyah : li-walīy al-niʻam al-ḥāj ʻAbbās Ḥilmī Bāshā al-thānī Khidīwī Miṣr / bi-qalam Muḥammad Labīb al-Batanūnī.	   [S.l. : s.n. ; 1911] (al-Qāhirah : Ṭubiʻa bi-Maṭbaʻat al-Jammālīyah)	  |4, 54, 334 p. :|ill.,|24 cm.	   Includes bibliographical references.	00 ʻAbbās II, Khedive of Egypt, 1874-1944.| 0 Pilgrims and pilgrimages Saudi Arabia Mecca.| 0 Hejaz (Saudi Arabia)| 0 Mecca (Saudi Arabia)| 0 Medina (Saudi Arabia)	BP187.3 .B32 1911	olin,anx				cornell_aco_0426
3752809	31924082477344	v.4 	1949	ua 	1  Mujāhid, Zakī Muḥammad.		13 al-Aʻlām al-Sharqīyah fī al-maʾah al-rābiʻah ʻasharah al-hijriyyah, min sanah 1301 ilā sanah 1365/sanah 1883 ilā sanah 1946. Taʾlīf Zakī Muḥammad Mujāhid.	   al-Qāhirah, 1949-63]	  |4 v.|24 cm.	   Vol. 1 has added t.p.: Biocraphies [sic] of famous men of the Orient in the XIVthe [c]entury hijri.|0  al-Juzʾ al-awwal: al-Mulūk wa-al-umarāʾ. al-Wuzarā wa-al-sufarā. Zumʻamāʾ al-ḥarakah al-qawmiyyah. --al-Juzʾ al-thānī: Aʻlam al-jaysh wa-al-baḥriyyah. ʻUlamāʾ  al-Islam. --al-Juzʾ al-thālith: al-Quḍāh wa-al-muḥāmūn. Ṭabaqāt al-sūfiyyah. Mashāhīr al-niḥal qhayʻ Islāmiyyah. --al-Juzʾ al-rābiʻ: Udabāʾ. al-Muʾarrikhun wa-al-raḥḥālah.	 0 Asia Biography.	DS32 .M95	olin,anx				cornell_aco_0437
3753225	31924028549453	 	1926	iq 	1  Aʻẓamī, ʻAlī Ẓarīf.		10 Mukhtaṣar taʾrīkh Baghdād.	   Baghdād, al-Maktabah al-ʻArabīyah, 1344/1926.	  |261 p.|23 cm.	   Cover title: Mukhtaṣar taʾrīkh Baghdād al-qadīm wa-al-ḥadīth, aw Baghdād fī 4000 sanah.	 0 Baghdad (Iraq) History.	DS51.B3 A99 1926	olin,anx				cornell_aco_0427
3772036	31924028720898	 	1951	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 ʻAṣr Muḥammad ʻAlī / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-Miṣrīyah, 1951.	  |740 p. :|maps, port. ;|24 cm.	   Includes bibliographical references and index.	00 Muḥammad ʻAlī Bāshā, Governor of Egypt, 1769-1849.| 0 Egypt History Mohammed Ali, 1805-1849.	Oversize DT104 .R13 +	olin,anx				cornell_aco_0431
4437516	31924092311061	v.4 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0435
