1651147	31924060171687	juz2 	1959	iq 	1  Qāsim, Abd al-Karīm, 1914-1963.	10 Speeches. Selections	10 Mabādiʾ thawrat 14 Tammūz fī khuṭab ʻAbd al-Karīm Qāsim.	   [Baghdād? : s.n.], 1959- (Baghdād : Maṭbaʻat al-Ḥukūmah)	  |v. :|ill. ;|24 cm.	   Cover title.|0  [Juzʾ 1] Kānūn al-Thānī-Ḥazirān, 1959 -- al-Juzʾ 2. Tammūz-Kānūn al-Awwal, 1959 -- [Juzʾ 3.] 1960.	10 Iraq Politics and government.	DS79.65 .Q11	olin,anx				cornell_aco_0447
1740766	31924063407781	 	1950	ua 	1  Rayyis, Muḥammad ḍayāʾ al-Dīn.		10 Tārīkh al-sharq al-ʻArabī wa-al-khilāfah al-ʻUthmānīyah athnāʾ al-dawr al-akhīr lil-khilāfah, 1774-1924 / li-MuḥammadḌiyāʾ al-Dīn al-Rayyis.	   al-Qāhirah : Maktabat Nahḍat Miṣr bi-al-Fajālah, 1950.	  |v. ;|22 cm.		 0 Middle East History 1517-	DS62.4 .R27	olin,anx				cornell_aco_0454
1910611	31924059418271	juz4:qism1 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0452
1910611	31924060173352	juz3,qism2 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0450
1910611	31924060173360	juz3,qism1 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0451
1910611	31924060173386	juz2 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0441
1910611	31924060173394	juz1 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0448
1910611	31924060173535	juz2,qism2 	1956	sy 	1  Kaḥḥālah, ʻUmar Riḍā.		10 Fihris majallāt al-Majmaʻ al-ʻIlmī al-ʻArabī / taʾlīf ʻUmar Riḍā Kaḥḥālah.	   Dimashq : [s.n.], 1956-1971 (Dimashq : Maṭbaʻat al-Taraqqī)	  |v. ;|25 cm.	1  al-juzʾ 1. 1921-30 -- al-juzʾ 2. 1931-45 -- al-juzʾ 3. 1946-55 -- al-juzʾ 4. 1956-65 -- al-juzʾ 4. 1956-1965.	20 Majmaʻ al-ʻIlmī al-ʻArabī bi-Dimashq. Majallah. Indexes.	DS41 .M23	olin,anx				cornell_aco_0449
1918784	31924067533046	juz1 	1956	ir 	1  Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?		13 al-Istibṣār fī-mā ikhtalafa min al-akhbār / taʾlīf Abī Jaʻfar Muḥammad ibn al-Ḥasan al-Ṭūsī ; ashrafa ʻalá taḥqīqihi wa-al-taʻlīq ʻalayhi Ḥasan al-Mūsawī al-Kharsān ; ʻuniya bi-nashrihi ʻAlī al-Ākhwandī.	   Najaf : Dār al-Kutub al-Islāmīyah, [1956-1957]	  |3 v. in 4 :|facsims. ;|25 cm.	   Includes bibliographical references.	 0 Hadith (Shiites) Early works to 1800.	BP193.25 .T96 1956	olin,anx				cornell_aco_0446
1918784	31924067533053	juz2 	1956	ir 	1  Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?		13 al-Istibṣār fī-mā ikhtalafa min al-akhbār / taʾlīf Abī Jaʻfar Muḥammad ibn al-Ḥasan al-Ṭūsī ; ashrafa ʻalá taḥqīqihi wa-al-taʻlīq ʻalayhi Ḥasan al-Mūsawī al-Kharsān ; ʻuniya bi-nashrihi ʻAlī al-Ākhwandī.	   Najaf : Dār al-Kutub al-Islāmīyah, [1956-1957]	  |3 v. in 4 :|facsims. ;|25 cm.	   Includes bibliographical references.	 0 Hadith (Shiites) Early works to 1800.	BP193.25 .T96 1956	olin,anx				cornell_aco_0445
3771823	31924088413590	v.2 	1955	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 Tārīkh al-ḥarakah al-qawmīyah wa-taṭawwur niẓām al-ḥukm fī Miṣr / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-ʻArabīyah, 1955-	  |v. :|ill., maps ;|24 cm.	   Vol. 2 : 3rd ed.|   Includes bibliographical references.|1  al-juzʻ 1. Yataḍammanu ẓuhūr al-ḥarakah al-qawmīyah fī tārīkh Miṣr al-hadīth wa-bayān al-dawr al-awwal min adwārihā fī ʻahd al-ḥamlah al-Faransīyah wa-tārīkh Miṣr fī hādhā al-ʻahd -- al-juzʾ 2. Min iʻādat al-dīwān fī ʻahd Nābulyūn ilá intihāʾ al-ḥamlah al-Faransīyah wa min jalāʾ al-Faransīyīn ilá irtiqāʾ Muḥammad ʻAlī arīkat Miṣr bi-irādat al-shaʻb.	 0 Egypt History 19th century.| 0 Nationalism Egypt.	DT100 .R13	olin,anx				cornell_aco_0453
