1649369	31924059065379	 	1950	ua 	1  Taymūr, Aḥmad, 1871-1930.		13 al-Rutab wa-al-alqāb al-Miṣrīyah.	   [Cairo] : Dār al-Kitāb al-ʻArabī, 1950.	  |98 p. :|ports.|20 cm.	   Includes bibliographical references.	 0 Titles of honor and nobility Egypt.	GR872 .T24	olin,anx				cornell_aco_0466
1654432	31924060173444	 	1954	iq 	1  Kushājim, Maḥmūd ibn al-Ḥusayn, active 10th century.		13 al-Maṣāyid wa-al-Maṭārid / taʼlīf Abī al-Fataḥ Maḥmūd ibn al-Ḥasan al-Kātib al-maʻrūf bi-Kushājm ; ḥaqaqahu wa-ʻalaqa ʻalayh Muḥammad Asʻad Ṭalas.	   Baghdād : Dār al-Yaqaẓah, [1954]	  |15, 288, 62 p. :|ill. ;|22 cm.	   Title on added t.p.: al-Masayid wal-matarid.|   Includes bibliographical references (p. 43-45 (3d group)).	 0 Hunting Early works to 1800.	SK25 .K97	olin,anx				cornell_aco_0472
1670066	31924060349929	 	1970	iq 	1  Sāmarrāʾī, Yūnus Ibrāhm̌.		13 al-Sayyid Aḥmad al-Rifāʻī, qaddasa Allāh sirrah : Ḥayātuh, āthāruh / bi-qalam Yūnis Ibrāhīm al-Sāmarrāʾī.	   Baghdād : Maṭbaʻat al-Irshād, 1970.	  |105 p. :|ill.,|24 cm.	   Bibliography: p. 105.	10 Rifāʻī, Aḥmad ibn ʻAlī, 1106?-1182.	BP80.R5 S18	olin,anx				cornell_aco_0479
1676331	31924076679871	 	1965	ir 	1  Sāʻidī, Ghulām Ḥusayn.		00 Khīyāv, yā Mishgīn shahr, kaʻbah-ʾi yaylāqāt-i Shahsavan / ṭarḥ-hā az Muḥammad Ḥusayn Āryā, va Sīrūs Afkhamī.	   [Tehran] Muʻasasah-i Muṭalaʻāt va Taḥqīqāt-i Ijtimāʻī 1344 [1965]	  |14, 273 p.|maps, illus  ;|22 cm.		 0 Ethnology Azerbaijan.| 0 Ethnology Iran.| 0 ʻMishgin (Iran)| 0 Khīyāv.	DS324.A9 S25 1965	olin,anx				cornell_aco_0482
1680621	31924060247610	 	1952	iq 	1  Waṭarī, Hāshim.		10 Mulakhkhaṣ kitāb al-dirāsāt fī dawrat al-kilyah al-damawīyah / talkhīṣ al-Duktur Hāshim al-Waṭarī.	   Baghdād : Majmaʻ al-ʻIlmī al-ʻIrāqī, 1952.	  |27 p., [4] leaves of plates :|ill. (some col.) ;|23 cm. 	   The book is an Arabic summary of: Studies of the renal circulation.		QP211 .T76 1952	olin,anx				cornell_aco_0474
1683483	31924060302597	 	1948	ua 	1  Taymūr, Aḥmad, 1871-1930.		10 Laʻib al-ʻArab ; Tārīkh al-usrah al-Taymūrīyah / bi-qalam Aḥmad Taymūr.	   al-Qāhirah : Lajnat Nashr al-muʾallafāt al-taymūrīyah, 1948.	  |114 p. :|port. ;|20 cm.		30 Taymūr family.| 0 Games, Arabic.	GV1204.83 .T24	olin,anx				cornell_aco_0469
1685922	31924063207413	 	1951	ua 	1  ʻAwdah, ʻAbd al-Qādir.		13 al-Islām wa-awḍāʻunā al-siyāsīyah / ʻAbd al-Qādir ʻAwdah.	   al-Qāhirah : Dār al-Kātib al-ʻArabī, 1951.	  |227 p. ;|22 cm.	   Includes bibliographical references.	 0 State, The.| 0 Islam and politics.	JC49 .A95	olin,anx				cornell_aco_0467
1686263	31924063407948	 	1951	ua 			10 Maḥāḍir : al-muḥādathāt al-sīyāsīyah wa-al-mudhakkirāt al-mutabādalah bayna al-ḥukūmah al-Miṣrīyah wa-ḥukūmat al-Mamlakah al-Muttaḥidah.	   al-Qāhirah : [Wizārat al-Khārijīyah al-Mlakīyah], 1951.	  |282 p. ;|24 cm.	   At head of title: Wizārat al-Khārijīyah al-Malakīyah.	 0 Egypt Foreign relations Great Britain.| 0 Great Britain Foreign relations Egypt.	JX1543.E32 M21	olin,anx				cornell_aco_0465
1686464	31924063269108	 	1950	ua 	1  Ghamrāwī, Ḥayram.		10 Adab al-shaʻb / bi-qalam Ḥayram al-Ghamrāwī.	   al-Qāhirah : Sharikat al-Tawzīʻ al-Miṣrīyah, [1952] (al-Qāhirah : Maṭābiʻ Jaridat al-Maṣrī)	  |145 p. :|ill. ;|21 cm.		 0 Popular literature Egypt.| 0 Folklore Egypt.	GR355 .G41	olin,anx				cornell_aco_0471
1743749	31924051445769	 	1909	ua 	1  Rustum, Muṣṭafà Rāshid.		10 Mā narāh : fī Biḥārinā wa-thughūrinā / taʾlīf Muṣṭafá Rāshid Rustum.	   [al-Qāhirah? : s.n.], 1909.	  |39 p. :|ill. ;|24 cm.		 0 Egypt Description and travel.| 0 Ocean.	DT53 .R97	olin,anx				cornell_aco_0481
1818808	31924075987481	 	1983	ir 	1  Ibn Khālawayh, Ḥusayn ibn Aḥmad, d. 980 or 81.	10 Iʻrāb thalāthīn sūrah min al-Qurʼān al-karīm	00 Kitāb Iʻrāb thalāthīn sūrah min al-Qurʼān al-Karīm / taʼlīf Abī ʻAbd Allāh al-Ḥusayn ibn Aḥmad al-maʻrūf bi-Ibn Khālawayh ; [taṣḥīḥ ʻAbd al-Raḥīm Maḥmūd].	   Tihrān : Intishārāt-i Nāṣir-i Khusraw, 1362 [1983 or 1984]	  |7, 248 p. :|facsim. ;|23 cm.	   Romanized record.|   Reprint of: Cairo : Dār al-Kutub al-Miṣrīyah, 1941.|   Includes bibliographical references.	00 Qurʼan. Juzʼ ʻAmma Commentaries.|00 Qurʼan Language, style.	BP129.42 .I134 1983z	olin,anx				cornell_aco_0480
1908552	31924068104862	 	1928	ua 	1  Ibn al-Khaṭīb, -1374.		13 al-Lamḥah al-badrīyah fī al-dawlah al-Naṣrīyah / taʼlīf Lisān al-Dīn ibn al-Khaṭīb ; ṣaḥḥaḥahu wa-waḍaʻa fahārisahu nāshiruhu Muḥibb al-Dīn al-Khaṭīb.	   al-Qāhirah : al-Maṭbaʻah al-Salfīyah wa-Maktabatuhā, 1347 [i.e.1928 or 9]	  |152 p., [1] folded leaf of plates :|ill., map ;|25 cm.	   Includes indexes.	 0 Nasrides.| 0 Spain History 711-1516.| 0 Granada (Spain) History.	DP102 .I13	olin,anx				cornell_aco_0484
