1106471	31924011659384	 	1952	ua 	1  Ṣafwat, M. M. (Muḥammad Muṣṭafā).		10 England and the Suez Canal 1854-1951 / M.M. Safwat.	   Alexandria [Egypt] : Ramses Press, 1952.	  |4, 211 p. ;|20 cm.	   At head of title: Royal Society of Historical Researches.|   Cover title.|   Title in Arabic on added t.p.: Injiltirā wa-Qanāt al-Suwaya, 1854-1951.|   Text in Arabic.|   Bibliography: p. 208-211.	 0 Suez Canal (Egypt)	HE543 .S12	olin,anx				cornell_aco_0495
1649311	31924059065205	 	1966	iq 	1  Tikrītī, Salīm Ṭāhā.		13 al-Ṣirāʻ ʻalá al-Khalīj al-ʻArabī.	   Baghdād : Wizārat al-Thaqāfah wa-al-Irshād, 1966.	  |146 p. ;|21 cm.	   Bibliography: p. 144-146.	 0 Persian Gulf States History.	DS326 .T56	olin,anx				cornell_aco_0511
1651539	31924059956205	 	1932	le 			10 Dhikrá al-ʻallāmah al-jalīl al-shaykh Muṣṭafá Najā Muftī Bayrūt al-akbar baʻd ʻām : 1350-23 Ramaḍān wa-31 Kānūn al-Thāni 1932 fī 1351-23 Ramaḍān wa-31 Kānūn al-Thānī 1933.	   [S.l. : s.n.], 1932 ([Bayrūt] : Maṭbaʻat al-Dabūr)	  |248 p., [11] p. of plates :|ill. ;|24 cm.		10 Najā, Muṣṭafá.| 0 Sunnites Lebanon Biography.	BP80 .N2	olin,anx				cornell_aco_0509
1651546	31924060247339	 	1951	ua 	1  ʻAdawī, Ibrāhīm Aḥmad.		13 al-Imbarāṭūriyah al-Bīzanṭīyah wa-al-dawlah al-Islāmīyah / taʾlīf Ibrāhīm Aḥmad al-ʻAdawī.	   al-Qāhirah : Maktabat Nahḍat Miṣr, 1951.	  |219 p. :|ill., maps ;|22 cm.	   Summary in English.|   Added t.p.: Byzantium and Islam by Dr. Ibrahim A. El-Adawi.|   Includes bibliographical references.	 0 Islamic Empire Relations Byzantine Empire.| 0 Byzantine Empire Relations Islamic Empire.	DF541 .A22	olin,anx				cornell_aco_0488
1651809	31924060247776	 	1950	mr 	1  Gannūn, ʻAbd al-Ṣamad ibn al-Tihāmī, -1934.		10 Kitāb al-Jirāb al-jāmiʻ li-ishtāt al-ʻulūm wa-al-ādāb / taʼlīf ʻAbd al-Ṣamad ibn al-Tihāmī Gannūn.	   [S.l. : s.n., 195-?]	  |255 p. ;|26 cm.		 0 Islam.	+ BP88.G19 J61	olin,anx				cornell_aco_0513
1655977	31924060172354	 	1962	iq 	1  Ḥaydarī, Ibrāhīm Faṣīḥ.	10 ʻUnwān al-majd	10 Kitāb ʻunwān al-majd : fī bayān aḥwāl Baghdād wa-al-Baṣrah wa-Najd / taʾlīf Ibrāhīm Faṣīḥ ibn al-sayyid Ṣibghat All-̄ah ibn al-Ḥaydarī al-Baghdādī.	   Baghdād : Dār Manshūrāt al-Baṣrī, 1962.	  |278 p. ;|22 cm.	   Added romanized title and English introduction.	 0 Baghdād (Iraq) History.| 0 Najd (Saudi Arabia) History.| 0 Baṣrah (Iraq) History.	DS51.B3 H41	olin,anx				cornell_aco_0489
1670935	31924059065643	 	1955	ua 	1  Maqrīzī, Aḥmad ibn ʻAlī, 1364-1442.		13 al-Dhahab al-masbūk fī dhikr man ḥajja min al-khulafāʾ wa-al-mulūk / taʾlīf Taqī al-Dīn Aḥmid ibn ʻAlī al-Maqrīzī ; nasharahu li-awwal marrah ʻan makhṭūṭāt al-Uskūryāl wa-Istanbūl wa-Bārīs wa-ḥaqqaqahu wa-ʻallaqa ḥawāshīyahu wa-gaddama lahu wa-waḍaʻa fahārisahu Jamāl al-Dīn al-Shayyāl.	   Miṣr : Maktabat al-Khānjī ; Baghdād : Maktabat al-Muthannā, 1955.	  |32, [1], 164 p. ;|22 cm.	   Bibliography: p. [27]-[33] (1st group)|   Includes indexes.	 0 Islamic Empire Kings and rulers Biography.	DS38.4.A2 M29	olin,anx				cornell_aco_0486
1677313	31924060349887	 	1968	iq 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.		00 Kitāb al-amkinah wa-al-miyāh wa-al-jibāl / li-Maḥmūd ibn ʻUmar al-Zamakhsharī ; taḥqīq Ibrāhīm al-Sāmarrāʾī.	   Baghdād : Sāʻadat Wizārat al-Tarbīyah ʻalá nashrih, [1968].	  |256 p. ;|24 cm.	   Added cover title: al-Jibal wa-lamkina wa-lmiyah.|   Includes bibliographical references and index.	 0 Islamic Empire Gazetteers.	DS43 .Z23	olin,anx				cornell_aco_0487
1682102	31924063150407	 	1952	ua 	1  Jāwīsh, ʻAbd al-ʻAzīz, -1929.		13 al-Islām : dīn al-fiṭrah wa-al-ḥurrīyah / taʼlīf ʻAbd al-ʻAzīz Jāwīsh.	   al-Qāhirah : Dār al-Hilāl, [1952]	  |194 p. ;|17 cm.		 0 Islam Doctrines.	BP163 .J41 1952	olin,anx				cornell_aco_0506
1682443	31924063149862	 	1936	ua 	1  Alūsī, Nuʻmān Khayr al-Dīn.		13 al-Ajwibah al-ʻaqlīyah li-ashrafīyat al-sharīʻah al-Muḥammadīyah / taʾlīf Abī al-barākāt Nuʻmān Khayr al-Dīn ibn al-Sayīd al-Shaykh Maḥmūd al-Alūsī al-Muftī al-Baghdādī.	   [Cairo?] : Idārat al-Ṭibāʻah al-Munīrīyah, [1936]	  |104 p. ;|19 cm.		 0 Islam Prayer-books and devotions Arabic.| 0 Hadith.	BP183.3 .A47	olin,anx				cornell_aco_0497
1685209	31924063268712	 	1948	ua 	1  Wāqidī, Muḥammad ibn ʻUmar, 747 or 748-823.		10 Maghāzī Rasūl Allāh / li-Abī ʻAbd Allāh Muḥammad ibn ʻUmar al-Wāqidī.	   [Cairo : Yuṭlabmin Jamāʻat Nashr al-Kutub al-qadīmah, ʻAbbās al-Shirbīnī], 1948 (al-Qāhirah : Maṭbaʻat al-Saʻādah)	  |350 p. ;|24 cm.		00 Muḥammad, Prophet, -632.	BP75.7 .W25	olin,anx				cornell_aco_0503
