1680112	31924060247545	juz2 	1900	ua 	0  M.A.Ḥ.		10 Tārīkh al-Dawlah al-ʻAlīyah al-ʻUthmānīyah wa-tārīkh al-ʻāʾilah al-Khidīwīyah : yashtamil ʻalá tārīkh Turkyá al-ḥadīth wa-futūḥātihā bi-Ūrubā wa-Asyā wa-Ifrīqyá min ibtidāʾ al-qarn al-sābiʻ ʻashar ilá nihāyat al-tāsiʻ ʻashar wa-dhikr ʻalāqatihā bi-Miṣr ilá ʻahd al-usrah al-mālikah al-ān / bi-qalam M.A.Ḥ.	   [S.l. : s.n., 19--?] (al-Qāhirah: Maṭbaʻat al-Ittiḥād al-Miṣrī)	  |v. ;|20 cm.	   Spine title: al-Dawlah al-ʻAlīyah	 0 Turkey History Ottoman Empire, 1288-1918.| 7 Turkey fast (OCoLC)fst01208963| 7 History fast (OCoLC)fst01411628	DR486 .T18	olin				cornell_aco_0654
1682172	31924063150019	 	1954	ua 	1  Nasser, Gamal Abdel, 1918-1970.		10 Falsafat al-thawrah / bi-qalam Jamāl ʻAbd al-Nāṣir.	   al-Qāhirah : Dār al-Maʻārif, [1954]	  |80 p.:|port. ;|18cm.		 0 Egypt Politics and government 1952-1970.| 0 Egypt History Philosophy.| 7 1952 - 1970 fast| 7 Philosophy fast (OCoLC)fst01060777| 7 Political science fast (OCoLC)fst01069781| 7 Egypt fast (OCoLC)fst01208755| 7 History fast (OCoLC)fst01411628	DT107.83 .N26 1954a	olin				cornell_aco_0650
1882541	31924059127591	 	1968	iq 			13 al-Azyāʾ al-Bābilīyah : al-azyāʾ al-ʻIrāqīyah / Mudīrīyat al-Āthār al-ʻĀmmah.	   Baghdād : Mudīrīyat al-Āthār al-ʻĀmmah, 1968.	  |1 v. (unpaged) :|ill. ;|26 cm.	   Captions in Arabic, English and French.|   Title on added t.p.: Babylonian costumes; Les costumes babyloniens. |   Includes bibliographical references.	 0 Costume Iraq Babylon.| 7 Costume fast (OCoLC)fst00880759	Oversize GT535.I7 I65 +	olin				cornell_aco_0659
1926481	31924060302316	 	1955	ua 	0  ʻAbd Allāh ibn Buluqqīn, King of Granada, 1056-?		10 Mudhakkirāt al-Amīr ʻAbd Allāh Ākhir mulūk Banī Zīrī bi-Gharnāṭah, (469-483) : al-musammāh bi-Kitāb "al-Tibyān" / nashr wa-taḥqīq ʻan al-nuskhah al-waḥīdah al-maḥfūẓah bi-Jamiʻ al-Qarawīyīn bi-Fās Ī. Līvī Brūvinsāl.	   [1955].	  |228, 6 p. :|ill., facsim., fold map.,|25 cm.	   Added t.p. in French: Les "Mémoires" de ʻAbd Allah dernier roi ziride de Grenade.	 0 Granada (Spain : Reino) History Sources.| 7 Spain Granada (Reino) fast (OCoLC)fst01341070| 7 History fast (OCoLC)fst01411628| 7 Sources fast (OCoLC)fst01423900	DP115 .A129	olin				cornell_aco_0663
1927463	31924068871205	 	1950	le 	1  Sharārah, ʻAbd al-Laṭīf.		10 Rūḥ al-ʻurūbah / ʻAbd al-Laṭīf Sharārah.	   Ṣaydā : al-Makktabah al-ʻAṣrīyah, [195-]	  |264 p. ;|20 cm.	   Includes bibliographical references.	 0 Panarabism.| 7 Panarabism fast (OCoLC)fst01051941	DS63.7 .S53	olin				cornell_aco_0655
1927499	31924068871569	 	1950	ua 			00 [Jawlah fī rubūʻ Ifrīqīyah : bayna Miṣr wa-raʾs al-Rajāʾ al-Ṣāliḥ ...].	   [Cairo: s.n., 195-]	  |235 p. :|ill. ;|24 cm.	   Original t.p. missing.	 0 Africa Description and travel.| 0 Africa, Sub-saharan Description and travel.| 7 Travel fast (OCoLC)fst01155558| 7 Africa fast (OCoLC)fst01239509| 7 Africa, Sub-Saharan fast (OCoLC)fst01239520	DT12.2 .J41 1950	olin				cornell_aco_0651
1931821	31924068871551	 	1938	ua 	1  ʻAfīfī, Ḥāfiẓ.		10 ʻAlá hāmish al-sīyāsah : baʻḍ masāʾilinā al-qawmīyah / Ḥāfiẓ ʻAfīfī Bāshā.	   al-Qāhirah : Maṭbaʻat Dār al-Kutub al-Miṣrīyah, 1938.	  |225 p. ;|25 cm.		 0 Egypt Social conditions.| 0 Egypt Economic conditions 1918-| 0 Egypt Politics and government.| 7 Since 1918 fast| 7 Economic history fast (OCoLC)fst00901974| 7 Political science fast (OCoLC)fst01069781| 7 Social history fast (OCoLC)fst01122498| 7 Egypt fast (OCoLC)fst01208755	DT107.8 .A25	olin				cornell_aco_0649
1934318	31924068913965	 	1964	iq 	1  Bakrī, Abū ʻUbayd ʻAbd Allāh ibn ʻAbd al-ʻAzīz, 1040-1094.		13 al-Maghrib fī dhikr bilād Ifrīqīyah wa-al-Maghrib, wa-huwa juzʾ min kitāb al-Masālik wa-al-mamālik / taʾlīf Abī ʻUbayd al-Bakrī.	   Baghdād : Yuṭlabu min Maktabat al-Muthannā, [1964?]	  |213, 19 p. ;|25 cm.	   Preface in French.|   Added t. p.: Description de l'Afrique septentrionale, par Abou-Obeid-el-Bekri. Texte arabe, revue sur quatre manuscrits, par de Slane.|   Originally published: Alger : Imprimerie du gouvernement, 1857.|   Includes bibliographical references and index.	 0 Africa, North Description and travel Early works to 1800.| 7 Travel fast (OCoLC)fst01155558| 7 Africa, North fast (OCoLC)fst01239515| 7 Early works fast (OCoLC)fst01411636	DT188 .B16 1964	olin				cornell_aco_0653
2303132	31924074332796	v.43 	1900	sy 	1  Ibn ʻAsākir, ʻAlī ibn al-Ḥasan, 1105-1176.		10 Tārīkh madīnat Dimashq : wa-dhikr faḍlihā wa-tasmiyat man ḥallahā min al-amāthil aw ijtāza bi-nawāhīhā min wāridīhā wa-ahlihā / taṣnīf Abī al-Qāsim ʻAlī ibn al-Ḥasan ibn Hibat Allāh ibn ʻAbd Allāh al-Shāfiʻī al-maʻrūf bi-ibn ʻAsākir ; taḥqīq Sukaynah al-Shihābī, Muṭāʻ al-Ṭarābīshī.	   Dimashq : Majmaʻ al-Lughah al-ʻArabīyah, <[1981-1991   >	  |v. <1-3, 7, 34, 38-40   > ;|29 cm.	   Includes indexes.|   Editors and revisors vary for each vol.|   Includes bibliographical references.|1  v. 1-2. al-Sīrah al-Nabawīyah    -- [3]. ʻAbd Allāh ibn Jābir-ʻAbd Allāh ibn Zayd    -- v. 7. Aḥmad ibn ʻUtbah-Aḥmad ibn Muḥammad ibn al-Muʾammal    -- v. 34. ʻAbd Allāh ibn Sālim-ʻAbd Allāh ibn Abī ʻAʾishah    -- v. 38. ʻAbd Allāh ibn Qays-ʻAbd Allāh ibn Masʻadah -- v. 39. ʻAbd Allāh ibn Masʻūd-ʻAbd al-Ḥamīd ibn Bakkār -- v. 40. ʻAbd al-Ḥamīd ibn Ḥabīb - ʻAbd al-Raḥmān ibn ʻAbd Allāh -- v. 42 ʻAbd al-Raḥmān ibn Muṣādir; ʻAbd al-ʻAzīz ibn ʻUmar ibn ʻAbd al-ʻAzīz.	 0 Damascus (Syria) Biography.| 0 Syria Biography.| 7 Syria fast (OCoLC)fst01208757| 7 Syria Damascus fast (OCoLC)fst01207112| 7 Biography fast (OCoLC)fst01423686	Oversize DS99.D3 I12 1991 +	olin				cornell_aco_0657
3732981	31924028341257	 	1969	iq 	1  Amari, Michele, 1806-1889.		13 al-Maktabah al-ʻArabīyah al-Ṣiqillīyah, nuṣūṣ fī al-tārīkh wa-al-buldān wa-al-tarājim wa-al-marājiʻ jamaʻahā wa-haqqaqahā Mīkhāʾīl Amārī.	   Baghdād : Maktabat al-Muthanná [1969?]	  |70, 71, x, 740, 88 p.	   Added t . p.: Biblioteca Arabo-Sicula; ossia, Raccolta di testi Arabici che toccano la geografia, la storia, le biografie e la bibliografia della Sicilia. Messi insiemi da Michele Amari.|   Reprint of the ed. published in Leipzig, 1857-75.	 0 Sicily (Italy) History Sources.| 0 Arabs Italy Sicily.| 7 Arabs fast (OCoLC)fst00812576| 7 Italy Sicily fast (OCoLC)fst01204499| 7 History fast (OCoLC)fst01411628| 7 Sources fast (OCoLC)fst01423900	DG867.11 .A48 1969	olin				cornell_aco_0660
3748740	31924082467188	v.1 	1954	ae 	1  Ibn al-Faraḍī, ʻAbd Allāh ibn Muḥammad, 962-1013.		12 A history of the learned men of al-Andalus and of those who transmitted their learning, by 'Abdallhah B. Mohammad b. Yusuf al-Azdi, known as Ibn al-Faradi. Edited by as-Sayyid 'Izzat al-'Attar al-Husaini.	   Le Caire, Bureau d'Edition de la culture islamique, 1954.	  |2 v.|25 cm.	   Cover title.|   Text in Arabic.		DP103.7 .I13	olin				cornell_aco_0661
