1649256	31924059956569	juz4 	1940	ua 	1  Amīn, Aḥmad, 1886-1954.	10 Essays	10 Fayḍ al-khāṭir : wa-huwa majmūʻ maqālāt adabīyah wa-ijtimāʻīyah / katabahu Aḥmad Amīn.	   al-Qāhirah : Maktabat al-Nahḍah al-Miṣrīyah, [1940?]-	  |v. ;|24 cm.	   Includes bibliographical references.		AC106 .A28 1940	olin				cornell_aco_0633
1683145	31924063626885	 	1955	iq 	1  Daywahʹchī, Saʻīd.		13 al-Jāmiʻ al-Mujāhidī fī al-Mawṣil / bi-qalam Saʻīd al-Daywahʹchī.	   [S.l. : s.n.], 1955. (Baghdād : Maṭbaʻat al-Rābiṭah)	  |11 p. :|ill. ;|29 cm.	   Cover title.|   "Mustall min majallat "Sūmar", al-mujallad 11, al-juzʾ 2"--Cover.|   Includes bibliographical references.	20 Jāmiʻ al-Mujāhidī (Mosul, Iraq)| 0 Mosques Iraq Mosul.| 7 Mosques fast (OCoLC)fst01026761| 7 Iraq Mosul fast (OCoLC)fst01202687	Oversize NA5968.M6 D27 +	olin				cornell_aco_0640
1747792	31924067519086	v.2 	1900	mr 	1  Fāsī, ʻAbd al-Raḥmān.	10 Afnūn fī mabādīʼ al-ʻulum	10 Kitāb al-Afnūn fī mabādīʼ al-ʻulum / li-ʻAbd al-Raḥmān al-Fāsī.	   [S.l. : s.n., 19--]	  |2 v. ;|28 cm.		 0 Islamic civilization Early works to 1800.| 0 Science, Arab.| 7 Islamic civilization fast (OCoLC)fst01730294| 7 Early works fast (OCoLC)fst01411636	Oversize DS36.855 .F24 +	olin				cornell_aco_0627
1747792	31924067519235	v.1 	1900	mr 	1  Fāsī, ʻAbd al-Raḥmān.	10 Afnūn fī mabādīʼ al-ʻulum	10 Kitāb al-Afnūn fī mabādīʼ al-ʻulum / li-ʻAbd al-Raḥmān al-Fāsī.	   [S.l. : s.n., 19--]	  |2 v. ;|28 cm.		 0 Islamic civilization Early works to 1800.| 0 Science, Arab.| 7 Islamic civilization fast (OCoLC)fst01730294| 7 Early works fast (OCoLC)fst01411636	Oversize DS36.855 .F24 +	olin				cornell_aco_0636
1786982	31924074368048	 	1899	mr 	1  Sijilmāsī, Abū ʻAbd Allāh Muḥammad, -approximately 1782.		10 Sharḥ Abī ʻAbd Allāh Muḥammad ibn Qāsim al-Sijilmāsī al-Ribāṭī ʻalá Naẓm al-ʻAmal li-Abī Zayd ʻAbd al-Raḥmanān ibn ʻAbd al-Qādir al-Fāsī / Abū ʻAbd Allāh Muḥammad al-Sijilmāsī.	   [Fez, Morocco? : s.n.], 1317 [i.e. 1899 or 1900]	  |384, 341 p. (2 vols in 1) ;|23 cm.		10 Abū Zayd al-Fāsī, ʻAbd al-Raḥmān ibn ʻAbd al-Qādir, 1630 or 1631-1684 or 1685. Naẓm al-ʻamal.| 0 Islam Customs and practices Early works to 1800.| 0 Islam Doctrines Early works to 1800.| 7 Islam Customs and practices fast (OCoLC)fst00979785| 7 Islam Doctrines fast (OCoLC)fst00979787| 7 Early works fast (OCoLC)fst01411636	KBL .S57 1899a	olin				cornell_aco_0632
2303132	31924067532931	v.2 	1900	sy 	1  Ibn ʻAsākir, ʻAlī ibn al-Ḥasan, 1105-1176.		10 Tārīkh madīnat Dimashq : wa-dhikr faḍlihā wa-tasmiyat man ḥallahā min al-amāthil aw ijtāza bi-nawāhīhā min wāridīhā wa-ahlihā / taṣnīf Abī al-Qāsim ʻAlī ibn al-Ḥasan ibn Hibat Allāh ibn ʻAbd Allāh al-Shāfiʻī al-maʻrūf bi-ibn ʻAsākir ; taḥqīq Sukaynah al-Shihābī, Muṭāʻ al-Ṭarābīshī.	   Dimashq : Majmaʻ al-Lughah al-ʻArabīyah, <[1981-1991   >	  |v. <1-3, 7, 34, 38-40   > ;|29 cm.	   Includes indexes.|   Editors and revisors vary for each vol.|   Includes bibliographical references.|1  v. 1-2. al-Sīrah al-Nabawīyah    -- [3]. ʻAbd Allāh ibn Jābir-ʻAbd Allāh ibn Zayd    -- v. 7. Aḥmad ibn ʻUtbah-Aḥmad ibn Muḥammad ibn al-Muʾammal    -- v. 34. ʻAbd Allāh ibn Sālim-ʻAbd Allāh ibn Abī ʻAʾishah    -- v. 38. ʻAbd Allāh ibn Qays-ʻAbd Allāh ibn Masʻadah -- v. 39. ʻAbd Allāh ibn Masʻūd-ʻAbd al-Ḥamīd ibn Bakkār -- v. 40. ʻAbd al-Ḥamīd ibn Ḥabīb - ʻAbd al-Raḥmān ibn ʻAbd Allāh -- v. 42 ʻAbd al-Raḥmān ibn Muṣādir; ʻAbd al-ʻAzīz ibn ʻUmar ibn ʻAbd al-ʻAzīz.	 0 Damascus (Syria) Biography.| 0 Syria Biography.| 7 Syria fast (OCoLC)fst01208757| 7 Syria Damascus fast (OCoLC)fst01207112| 7 Biography fast (OCoLC)fst01423686	Oversize DS99.D3 I12 1991 +	olin				cornell_aco_0630
2303132	31924072010139	v.42 	1900	sy 	1  Ibn ʻAsākir, ʻAlī ibn al-Ḥasan, 1105-1176.		10 Tārīkh madīnat Dimashq : wa-dhikr faḍlihā wa-tasmiyat man ḥallahā min al-amāthil aw ijtāza bi-nawāhīhā min wāridīhā wa-ahlihā / taṣnīf Abī al-Qāsim ʻAlī ibn al-Ḥasan ibn Hibat Allāh ibn ʻAbd Allāh al-Shāfiʻī al-maʻrūf bi-ibn ʻAsākir ; taḥqīq Sukaynah al-Shihābī, Muṭāʻ al-Ṭarābīshī.	   Dimashq : Majmaʻ al-Lughah al-ʻArabīyah, <[1981-1991   >	  |v. <1-3, 7, 34, 38-40   > ;|29 cm.	   Includes indexes.|   Editors and revisors vary for each vol.|   Includes bibliographical references.|1  v. 1-2. al-Sīrah al-Nabawīyah    -- [3]. ʻAbd Allāh ibn Jābir-ʻAbd Allāh ibn Zayd    -- v. 7. Aḥmad ibn ʻUtbah-Aḥmad ibn Muḥammad ibn al-Muʾammal    -- v. 34. ʻAbd Allāh ibn Sālim-ʻAbd Allāh ibn Abī ʻAʾishah    -- v. 38. ʻAbd Allāh ibn Qays-ʻAbd Allāh ibn Masʻadah -- v. 39. ʻAbd Allāh ibn Masʻūd-ʻAbd al-Ḥamīd ibn Bakkār -- v. 40. ʻAbd al-Ḥamīd ibn Ḥabīb - ʻAbd al-Raḥmān ibn ʻAbd Allāh -- v. 42 ʻAbd al-Raḥmān ibn Muṣādir; ʻAbd al-ʻAzīz ibn ʻUmar ibn ʻAbd al-ʻAzīz.	 0 Damascus (Syria) Biography.| 0 Syria Biography.| 7 Syria fast (OCoLC)fst01208757| 7 Syria Damascus fast (OCoLC)fst01207112| 7 Biography fast (OCoLC)fst01423686	Oversize DS99.D3 I12 1991 +	olin				cornell_aco_0631
3138231	31924082446810	 	1948	ua 	1  Nubāhī, ʻAlī ibn ʻAbd Allāh, 1313 or 1314-		10 Tārīkh quḍāt al-Andalus / allafahu Abū al-Ḥasan ibn ʻAbd Allāh ibn al-Ḥasan al-Nubāhī al-Māliqī al-Andalusī wa-sammāhu Kitāb al-Marqabah al-ʻulyā fi-man yastaḥiqqu al-qaḍā' wa-al-futyā.	   al-Qāhirah : Dār al-Kātib al-Miṣrī, 1948.	  |10, 246, x p. ;|26 cm.	   Includes bibliographical references and index.|   Added t.p. and introduction in French: Histoire de juges d'Andalousie intitulée Kitab al-Markaba al-ʻulya / édition critique par É. Lévi-Provençal.	 0 Judges (Islamic law) Spain Biography Early works to 1800.| 0 Muslim scholars Spain Biography Early works to 1800.| 0 Malikites Early works to 1800.| 0 Spain Biography Early works to 1800.| 7 Biography fast (OCoLC)fst00832149| 7 Malikites fast (OCoLC)fst01006724| 7 Muslim scholars Biography fast (OCoLC)fst01731775| 7 Spain fast (OCoLC)fst01204303| 7 Early works fast (OCoLC)fst01411636	Oversize DP103 .N96 +	olin				cornell_aco_0634
3743212	31924028446577	 	1964	iq 			00 Akhbār majmūʻah fī fatḥ al-Andalus, wa-dhikr umarāʼihā wa-al-ḥurūb al-waāqiʻah bihā baynahum. li-muʼallif majhūl.	   Baghdād, Maktabat al-Muthannā [1964?]		   Added t.p.: Ajbar machmuâ (Coleccion de tradiciones) ; cronica anonima del siglo XI, dadaá luz por primera ves. Traducida y anotada por Emilio Lafuente y Alcantara.|   Photo offset of the Arabic text, with geographical index published in Madrīd, 1867, as v. 1 of Coleccion de obras Arábigas de historia y geografia que publica la real Academia de la Historia.	 0 Spain History 711-1516.| 7 711 - 1516 fast| 7 Spain fast (OCoLC)fst01204303	Oversize DP98 .A31 +	olin				cornell_aco_0635
3753228	31924028549487	 	1967	iq 	1  Fahad, Badrī Muḥammad.		13 al-ʻĀmmah bi-Baghdād fi al-qarn al-khāmis al-Hijrī : bahth tārīkhī fī al-ḥayāh al-ijtimāʻīyah li-jamāhīr Baghdād / taʾlīf Badrī Muḥammad Fahad.	   Baghdād : Maṭbaʻat al-Irshād, 1967.	  |415 p. ;|24 cm.	   Romanized record.|   Cover title: The common people in Baghdad during the 5th century A.H./11th A.D. / by Badrie Mohammed Fahad.|   Bibliography: p. 316-352.	 0 Baghdad (Iraq) Social life and customs.| 7 Manners and customs fast (OCoLC)fst01007815| 7 Iraq Baghdad fast (OCoLC)fst01207444	DS51.B3 F15	olin				cornell_aco_0625
3753233	31924088412824	v.1 	1968	iq 	1  al-Mundhirī, ʻAbd al-ʻAẓīm ibn ʻAbd al-Qawī, 1185-1258.		13 al-Takmilah li-Wafayāt al-naqlah [ʾAllafahū] Zakī al-Dīn AbūMuḥammad ʻAbd al-ʻAẓīm Ibn ʻAbd al-Qawī al-Mundhirī. Ḥaqqaqahū wa-ʻAllaqa ʻAlayhi Bashshār ʻAwwād Maʻrūf.	   al-Najaf, Maṭbaʻat al-ʾĀdāb 1968-	  |v.|facsims.|24 cm.	   Cover title: at-Takmilah liwafayat an-naqlah; von Zaki ad-Din al-Mundhiri.|0  Mujallad 1. 582-591 H.- Mujallad 2. 592-599 H.- Mujallad 3. 581-656 H.- Mujallad 4. 609-616 H.	 0 Baghdad (Iraq) Biography.| 7 Iraq Baghdad fast (OCoLC)fst01207444| 7 Biography fast (OCoLC)fst01423686	DS51.B3 M96	olin				cornell_aco_0626
