1681974	31924063611044	juz 2 	1970	iq 	1  Ibn al-Athīr, ʻIzz al-Dīn, 1160-1233.		13 al-Lubāb fī tahdhīb al-ansāb / taʾlīf ʻIzz al-Dīn Ibn al-Athīr al-Jazarī.	   Baghdād : Maktabat al-Muthanná, [197?]	  |3 v. ;|25 cm.	   Includes indexes.	 0 Islamic Empire Genealogy Early works to 1800.| 0 Islamic Empire Biography Early works to 1800.| 0 Names, Personal Arabic Early works to 1800.| 7 Genealogy fast (OCoLC)fst00939652| 7 Names, Personal Arabic fast (OCoLC)fst01751766| 7 Islamic Empire fast (OCoLC)fst01244134| 7 Biography fast (OCoLC)fst01423686| 7 Early works fast (OCoLC)fst01411636	CS1476 .I13	olin				cornell_aco_0692
1681974	31924063611051	juz 1 	1970	iq 	1  Ibn al-Athīr, ʻIzz al-Dīn, 1160-1233.		13 al-Lubāb fī tahdhīb al-ansāb / taʾlīf ʻIzz al-Dīn Ibn al-Athīr al-Jazarī.	   Baghdād : Maktabat al-Muthanná, [197?]	  |3 v. ;|25 cm.	   Includes indexes.	 0 Islamic Empire Genealogy Early works to 1800.| 0 Islamic Empire Biography Early works to 1800.| 0 Names, Personal Arabic Early works to 1800.| 7 Genealogy fast (OCoLC)fst00939652| 7 Names, Personal Arabic fast (OCoLC)fst01751766| 7 Islamic Empire fast (OCoLC)fst01244134| 7 Biography fast (OCoLC)fst01423686| 7 Early works fast (OCoLC)fst01411636	CS1476 .I13	olin				cornell_aco_0691
1879941	31924059065155	juz17-18 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0682
1879941	31924059065171	juz19-20 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0683
1879941	31924059065189	juz15-16 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0688
1879941	31924059065197	juz13-14 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0687
1879941	31924059065692	juz7-8 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0684
1879941	31924059065700	juz9-10 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0685
1879941	31924059065718	juz11-12 	1980	ir 	1  Ibn Abī al-Ḥadīd, ʻAbd al-Ḥamīd ibn Hibat Allāh, 1191-1257 or 1258.		10 Sharḥ Nahj al-balāghah / li-Ibn Abī al-Ḥadīd ; bi-taḥqīq Muḥammad ibn al-Ḥusayn al-Sharīf al-Raḍī	   [Qum] : Muʼassasah Mat̤būʻātī Ismāʻīlīyān, [198-?]	  |20 v. in 10 ;|24 cm.	   Reprint. Originally published: Cairo : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1959.|   Includes bibliographical references.	10 Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016. supposed author. Nahj al-balāghah.|00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.|07 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661 fast (OCoLC)fst01804105| 7 Nahj al-balāghah (Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn) fast (OCoLC)fst01368261	DS238.A6 S53 1980	olin				cornell_aco_0686
3638625	31924027976830	 	1967	iq 	0  al-Masʻūdī, -956?		13 al-Tanbīh wa-al-ishrāf / li-Abī al-Ḥasan ʻAlī ibn al-Ḥusayn al-Masʻūdī ; ʻuniya bi-taṣḥiḥih wa-murājaʻatih ʻAbd Allāh Ismāʻi̲l al-Ṣāwī.	   Baghdād : Makhtabat al-Muthanná [1967]	  |15, 423 p. ;|24 cm.	   In Arabic.|   Reprint of the ed. published in Cairo, 1938.	 0 World history Early works to 1800.| 0 Islamic Empire History.| 0 Geography, Arab.| 7 Geography, Arab fast (OCoLC)fst00940571| 7 World history fast (OCoLC)fst01181345| 7 Islamic Empire fast (OCoLC)fst01244134| 7 Early works fast (OCoLC)fst01411636| 7 History fast (OCoLC)fst01411628	D17.M42 T4 1967	olin				cornell_aco_0694
3777027	31924082468038	v.1 	1968	iq 	1  ʻUlaymī, ʻAbd al-Raḥmān ibn Muḥammad, 1456-approximately 1521.		13 al-Uns al-jalīl bi-tārīkh al-Quds wa-al-Khalīl / taʼlīf Abū al-Yaman Mujīr al-Dīn al-Ḥanbalī ; qaddamahu Muḥammad Baḥr al-ʻUlūm.	   al-Najaf al-Ashraf : al-Maṭbaʻat al-Ḥaydarīyah, 1968.	  |2 v. ;|25 cm.	   Title on back cover:  al-Auns al-Jalil for Jeruslem & Khlil's history.|   Reprint.  Originally published: Miṣr: al-Maṭbaʻah al-Wahbīyah, 1283 [1866]|   Includes bibliographical references.	 0 Palestine History.| 7 Middle East Palestine fast (OCoLC)fst01207534| 7 History fast (OCoLC)fst01411628	DS124 .U36 1968	olin				cornell_aco_0680
3777027	31924082468046	v.2 	1968	iq 	1  ʻUlaymī, ʻAbd al-Raḥmān ibn Muḥammad, 1456-approximately 1521.		13 al-Uns al-jalīl bi-tārīkh al-Quds wa-al-Khalīl / taʼlīf Abū al-Yaman Mujīr al-Dīn al-Ḥanbalī ; qaddamahu Muḥammad Baḥr al-ʻUlūm.	   al-Najaf al-Ashraf : al-Maṭbaʻat al-Ḥaydarīyah, 1968.	  |2 v. ;|25 cm.	   Title on back cover:  al-Auns al-Jalil for Jeruslem & Khlil's history.|   Reprint.  Originally published: Miṣr: al-Maṭbaʻah al-Wahbīyah, 1283 [1866]|   Includes bibliographical references.	 0 Palestine History.| 7 Middle East Palestine fast (OCoLC)fst01207534| 7 History fast (OCoLC)fst01411628	DS124 .U36 1968	olin				cornell_aco_0681
4709565	31924029826876	v.1 	1969	iq 	1  al-Naqshabandī, Nāṣir Maḥmūd.		13 al-Dirham al-Islāmī, taʼlīf Nāṣir Maḥmūd al-Naqshabandī. al-Taṣmīm : Jamīl Ḥammūdī.	   Baghdād, 1969.	  |1 v.|illus., facsims., port.|24 cm.	   Maṭbūʻat al-Majmaʻ al-ʻIlmī al-ʻIrāqī.|   Added t. p.: The Islamic dirham, by Nasir M. al-Naqshabandi.|   CONTENTS. -|   Juzʼ 1. al-Dirham al-Islāmī al-maḍrūb ʻalá al-ṭirāẓ al-Sāsānī.	 0 Dirham (Coin)| 0 Islamic numismatics.| 7 Dirham (Coin) fast (OCoLC)fst00894617| 7 Islamic numismatics fast (OCoLC)fst01730353	CJ3415 .N25	olin				cornell_aco_0690
4713653	31924029827007	 	1966	iq 	1  Ḥusaynī, Muḥammad Bāqir.		13 al-ʻUmlah al-Islāmīyah fī al-ʻahd al-Atābakī [taʼlīf] Muḥammad Bāqir al-Ḥusaynī.	   Bagdād : Maṭbaʻat Dār al-Jāḥiẓ, 1966.	  |229 p.|illus., plates.|25 cm.	   Risālat al-mājistīr -- Jāmiʻat al-Qāhirah.|   Bibliography: p. 147-150.	 0 Islamic coins.| 0 Numismatics Iraq.| 7 Islamic coins fast (OCoLC)fst01730304| 7 Numismatics fast (OCoLC)fst01041327| 7 Iraq fast (OCoLC)fst01205757	CJ3890 .H96	olin				cornell_aco_0689
6751573	31924110993353	 	1865	ua 	1  Montrond, Maxime de, 1805-1879.		10 Min Tārīkh al-Ḥurūb al-Muqaddasah Fī al-Mashriq al-Madʻūwah Ḥarb al-Ṣalīb / al-Mūʾalaf bi-mūjab tārīkh al-azminah al-muʻāṣirah min al-ʻalāmah  Maksīmūs Mūnrūnd , qad istakhrajahu ʻan aṣlihi al-faransāwī ilá al-lughah al-ʻarabīyah Maksīmūs Maẓlūm.	   [Cairo?] : Aḍwāʾ al-Salaf, 1865.	  |2 v. in 1 ;|25 cm.	   Reprint.	   Crusades--History	D157 .M67 1865	olin				cornell_aco_0693
