1651092	31924060173501	 	1951	ua 	1  Dasūqī, ʻUmar.		13 al-Nābighah al-Dhubyānī / taʼlīf ʻUmar al-Dasūqī.	   [al-Qāhirah] : Dār al-Fiqr al-ʻArabī, 1951.	   Includes bibliographical references.	00 Nābighah al-Dhubyānī, active 6th century.	PJ7696.N12 Z6 1951	olin,anx				cornell_aco_0007
1651236	31924060173519	 	1954	ua 			00 Ashʻār al-shuʻarāʼ al-sittah al-jāhilīyīn : ikhtīyārāt min al-shiʻr al-jāhilī : al-mukhtār min shiʻr Imriʼ al-Qays, wa-ʻAlqamah ibn ʻAbdah, wa-al-Nābighah, wa-Zuhayr, wa-Ṭarafah, wa-ʻAntarah al-ʻAbsī / ikhtiyār al-Yūsuf ibn Sulaymān ibn ʻĪsá al-maʻrūf bil-Aʻlam al-Shantamarī ; sharḥ wa-taʻlīq Muḥammad ʻAbd al-Munʻim al-Khafājī.	   [al-Qāhirah] : Maktabat ʻAbd al-Hamīd Aḥmad Ḥanafī, 1954.	   Includes bibliographical references.	 0 Arabic poetry To 622.	PJ7633 .A81	olin,anx				cornell_aco_0008
1662518	31924059116578	 	1921	ua 	1  Ḥuṣarī, Ibrāhīm ibn ʻAlī, -1022.	10 Yā layl al-ṣabb	10 Muʻāraḍāt qaṣīdat "Yā layl al-ṣabb" lil-Ḥuṣarī al-Qayrawānī ; jamaʻahā ʻIsá Iskandar al-Maʻlūf al-Lubnānī.	   [Cairo : s.n.] (al-Qāhirah : Maṭbaʻat al-Hilāl, 1921)		 0 Memesis in literature.| 0 Love poetry, Arabic.| 0 Ghazal.	PJ7632.L6 H971	olin,anx				cornell_aco_0009
1662577	31924059116636	 	1884	ua 	1  Ibn ʻArabshāh, Aḥmad ibn Muḥammad, 1392-1450.		10 Fākihat al-khulafāʼ : wa-mufākahat al-ẓurafāʼ / li-Aḥmad ibn Muḥmamad ibn ʻArabshāh al-Hanafī. Wa-bi-hāmishihi Kitāb Kalīlah wa-Dimnah / taʼlīf Bīdbā ; wa-tarjamahu ʻAbd Allāh ibn al-Muqaffaʻ al-kātib min al-lughah al-Fahlawīyah ilá al-lughah al-ʻArabīyah.	   [Cairo? : s.n., 1884?]			+ PJ7760.F129 F17 1884	olin,anx				cornell_aco_0010
1670918	31924059458863	 	1949	ua 	1  Jumʻah, Ibrāhīm.		10 Abū Zayd al-Sarūjī : al-adīb al-muḥtāl bi-al-thawbayn wa-al-ʻukkāzah wa-al-jirāb : alāʻībuh... tawbatuh... mawtuh wa-taʾbinuh... rajʻatuhu / Ibrāhīm Jumʻah.	   al-Fajjālah : Maktabat Nahḍat Miṣr, 1949.		00 Ḥarīrī, 1054-1122. Maqāmāt.	PJ7755.H28 M352	olin,anx				cornell_aco_0014
1674155	31924059914725	 	1923	ua 	1  Karr, Alphonse, 1808-1890.	10 Sous les tilleuls. Arabic. 1923	10 Mājdūlīn : aw Taḥt ẓilāl al-zayzafūn / taʾlīf Alfūns Kar ; mulakhkhaṣah bi-qalam Muṣṭafá Luṭfī al-Manfalūṭī.	   [Cairo] : Tuṭlab min al-Maktabah al-Tijārīyah bi-awwal Shāriʻ Muḥammad ʻAlī, [1923] ([Cairo] : al-Maṭbaʻah al-Raḥmānīyah)	   Translation of: Sous les tilleuls.		PQ2315 .S7 1923	olin,anx				cornell_aco_0016
1674736	31924059065460	 	1909	le 	1  Isḥāq, Adīb, 1856-1885.	10 Works. Selections. 1909	13 al-Durar : wa-hiya muntakhabāt al-ṭayyib al-dhikr, al-khālid al-athar, al-kātib wa-al-shāʻir wa-al-khaṭīb al-marḥūm Adīb Isḥaq / [Adīb Isḥāq] ; jamaʻahā min āthārihi al-maṭbūʻah wa-al-makhṭūṭah ʻAwnī Isḥāq.	   [Beirut : s.n., 1909] (Bayrūt : al-Maṭbaʻah al-Adabīyah, 1909)	   "Taḥtawī ʻalá tarjamat ḥālihi wa-aqwāl al-jarāʼid fīhi wa-marāthī al-shuʻarāʼ wa-muntakhabāt khuṭabihi wa-rasāʼilihi wa-qaṣāʼidihi wa-riwāyātihi wa-maqālātihi al-siyāsīyah wa-al-adabīyah mimmā ṭubiʻa min qabl wa-mimmā lam yatayassar ṭabʻuhu illā baʻda iʻlān al-dustūr."	10 Isḥāq, Adīb, 1856-1885.| 0 Politicians Lebanon Biography| 0 Journalism Arab countries.	PJ7838.S519 A6 1909	olin,anx				cornell_aco_0017
1676601	31924073798393	 	1911	ua 	1  Zaydān, Jirjī, 1861-1914.		13 al-Inqilāb al-ʻUthmānī : riwāyah gharāmīyah tārīkhīyah / taʾlīf Jirjī Zaydān.	   [S.l. : s.n], 1911 (al-Qāhirah : Maṭbaʻat al-Hilāl)		 0 Turkey History Fiction.	PJ7876.A97 I58 1911a	olin,anx				cornell_aco_0018
1676603	31924059914915	 	1925	ua 	1  Rostand, Edmond, 1868-1918.	10 Cyrano de Bergerac. Arabic	13 al-Shāʻir : aw Sīrānū dī Birjirāk / bi-qalam Muṣṭafá Luṭfī al-Manfalūṭī ; wa-hiya khulāṣat al-riwāyah al-tamthīlīyah allāti waḍaʻahā al-shāʻir al-ʻaẓīm Idmūn Rūstān.	   [al-Qāhirah] : Yuṭlab min al-maktabah al-Tijārīyah al-Kubrá, 1925.	   "Arrabahā ʻan al-lughah al-Firansīyah taʻrīban ḥarfīyan ... Muḥammad ʻAbd al-Salām al-Jundī"--P. [5].		PQ2635.O85 C9 1925a	olin,anx				cornell_aco_0019
1681323	31924073796058	 	1920	sy 			03 al-Riwāyāt al-shiʻrīyah : allātī yunshiduhā fī Miṣr al-ān al-bulbul al-ghirrīd al-ustādh al-shaykh Salāmah Ḥijāzī.	   [Bayrūt], al-Shām : Maṭbaʻat al-Iṣlāḥ, [1920-1930]	0  Riwāyat al-ṭiflayn / Khalīl Maṭrān -- al-Nasīm al-ʻas̄hiq / Ilyās Fayyāḍ -- Anā wa-al-ḥabībah / Ṭānyūs ʻAbduh.		PJ7862.A85 A17 1920a	olin,anx				cornell_aco_0021
1682095	31924063150076	 	1953	ua 	1  Dasūqī, ʻUmar.		10 Maḥmūd Sāmī al-Bārūdī / bi-qalam ʻUmar al-Disūqī.	   al-Qāhirah : Dār al-Maʻārif, 1953.	   Includes bibliographical references.	10 Bārūdī, Maḥmūd Sāmī, 1839-1904.	PJ7820.A86 M3 1953	olin,anx				cornell_aco_0024
