b12772999,aub_aco001543
b12724750,aub_aco001722
b1293334x,aub_aco001622
b12763901,aub_aco001664
b12697370,aub_aco001670
b12771168,aub_aco001472
b12701154,aub_aco001672:'v.1'|aub_aco001673:'v.2'|aub_aco001674:'v.3'|aub_aco001675:'v.4'|aub_aco001676:'v.5'|aub_aco001677:'v.6'|aub_aco001678:'v.7'
b12726801,aub_aco001701
b1276873x,aub_aco001583
b17609331,aub_aco001460
b12484106,aub_aco001577
b12452257,aub_aco001505
b12357637,aub_aco001732
b12496480,aub_aco001588
b12702894,aub_aco001695
b1257143x,aub_aco001649
b13181981,aub_aco001566
b12762209,aub_aco001644:'v.1-3'
b12770516,aub_aco001464
b1292913x,aub_aco001571
b12505651,aub_aco001598
b12727490,aub_aco001704
b12784904,aub_aco001420
b12784709,aub_aco001484:'v.1'
b12507210,aub_aco001608
b12759181,aub_aco001615
b12571982,aub_aco001667:'v.1'|aub_aco001668:'v.2'
b12357807,aub_aco001729
b12831736,aub_aco001650
b12457280,aub_aco001515
b12702791,aub_aco001692
b12727301,aub_aco001702
b13416881,aub_aco001560:'v.1'
b12473947,aub_aco001512
b12524566,aub_aco001633
b12588805,aub_aco001657
b12348016,aub_aco001425
b17933031,aub_aco001436
b12755576,aub_aco001574
b12483606,aub_aco001520
b12698611,aub_aco001669
b17696264,aub_aco001570
b12477023,aub_aco001516
b12730907,aub_aco001717
b12774625,aub_aco001545
b12656380,aub_aco001646
b1244635x,aub_aco001455:'v.1'
b12730968,aub_aco001718
b19168536,aub_aco001414
b13485015,aub_aco001552:'v.1'|aub_aco001553:'v.2'
b12702377,aub_aco001689
b12774418,aub_aco001544
b12934744,aub_aco001569:'v.1'
b13193727,aub_aco001423
b12761813,aub_aco001611
b12467637,aub_aco001508:'v.1'|aub_aco001509:'v.2'
b17609525,aub_aco001663
b12356803,aub_aco001730
b12770395,aub_aco001462
b12771132,aub_aco001476
b17609847,aub_aco001590:'v.1'|aub_aco001591:'v.2'
b12543056,aub_aco001662:'v.1'
b12433536,aub_aco001482
b12761412,aub_aco001500
b12701129,aub_aco001671
b12784825,aub_aco001486
b12448151,aub_aco001502
b12505481,aub_aco001597
b12762039,aub_aco001634:'v.1'
b13180745,aub_aco001549
b12485408,aub_aco001576
b12505468,aub_aco001596
b12467054,aub_aco001507
b1254369x,aub_aco001619
b12730798,aub_aco001711:'v.6'|aub_aco001712:'v.7'
b12484507,aub_aco001521
b12905112,aub_aco001421
b12439940,aub_aco001449
b12578587,aub_aco001461
b12727404,aub_aco001703
b12724725,aub_aco001721:'v.1'
b13284770,aub_aco001435
b12770644,aub_aco001471
b12353115,aub_aco001466
b12479366,aub_aco001518:'v.1'
b14187553,aub_aco001468
b12446117,aub_aco001454:'v.1'
b12762118,aub_aco001635
b12481683,aub_aco001558
b12508135,aub_aco001609
b1244179x,aub_aco001441:'v.1'|aub_aco001442:'v.2'
b12758590,aub_aco001496
b12764516,aub_aco001656
b12832054,aub_aco001547:'v.4'
b13346143,aub_aco001708
b1276534x,aub_aco001660
b12504579,aub_aco001603
b1759070x,aub_aco001653
b12474162,aub_aco001513
b12702493,aub_aco001690
b12778850,aub_aco001584:'v.1-2'
b12378690,aub_aco001428:'v.1-2'|aub_aco001429:'v.3-4'|aub_aco001430:'v.5-6'|aub_aco001431:'v.7-8'|aub_aco001432:'v.9-10'
b12761539,aub_aco001539
b12562981,aub_aco001654
b12602024,aub_aco001661
b12765351,aub_aco001723
b12728135,aub_aco001710
b12442100,aub_aco001443
b12761965,aub_aco001630
b12702821,aub_aco001693
b12382826,aub_aco001492:'v.1-2'
b17923360,aub_aco001555
b12769927,aub_aco001457
b12770401,aub_aco001572
b12470946,aub_aco001510
b13485064,aub_aco001554
b12703035,aub_aco001696
b12690375,aub_aco001725
b12431357,aub_aco001416
b12485305,aub_aco001532
b12760407,aub_aco001415
b12760456,aub_aco001452
b12658005,aub_aco001726
b12773876,aub_aco001601
b12773906,aub_aco001602
b12830641,aub_aco001427
b12784461,aub_aco001479
b12497708,aub_aco001593
b12702742,aub_aco001691
b1275917x,aub_aco001613|aub_aco001614
b12354508,aub_aco001467:'v.1'
b12497733,aub_aco001592
