b1257224x,aub_aco003294:''''
b12496832,aub_aco003594:''''
b12723162,aub_aco003718:''v.1''
b12505377,aub_aco003612:''''
b12516715,aub_aco003276:''''
b12480678,aub_aco003331:''''
b12409868,aub_aco003161:''''
b12439496,aub_aco003768:''''
b12516958,aub_aco003277:''''
b12706395,aub_aco003632:''''
b12409777,aub_aco003160:''''
b12505420,aub_aco003586:''''
b12432994,aub_aco003538:''''
b12499705,aub_aco003687:''''
b12514342,aub_aco003116:''''
b12516454,aub_aco003254:''''
b12521462,aub_aco003250:''''
b12517057,aub_aco003281:''''
b12503423,aub_aco003597:''''
b12408074,aub_aco003359:''''
b12735541,aub_aco003145:''''
b12432374,aub_aco003765:''''
b12448369,aub_aco003149:''''
b12435120,aub_aco003364:''''
b12521760,aub_aco003263:''''
b1240794x,aub_aco003386:''''
b12428425,aub_aco003776:''v.1-4''|aub_aco003777:''v.5-8''
b12649685,aub_aco003298:''''
b12723149,aub_aco003717:''v.1-2''
b12543536,aub_aco003185:''''
b12429284,aub_aco003727:''''
b12414694,aub_aco003383:''''
b12515024,aub_aco003126:''''
b12620245,aub_aco003299:''''
b12408268,aub_aco003150:''v.1''
b1272807x,aub_aco003739:''''
b12445083,aub_aco003536:''''
b12431795,aub_aco003547:''v.1''
b12415911,aub_aco003393:''v.1-2''
b12441363,aub_aco003728:''''
b12564862,aub_aco003191:''''
b12496844,aub_aco003595:''''
b12567577,aub_aco003200:''''
b12565234,aub_aco003197:''''
b12431898,aub_aco003655:''''
b12469245,aub_aco003305:''''
b12514184,aub_aco003118:''''
b12543445,aub_aco003183:''''
b12496455,aub_aco003591:''''
b12455490,aub_aco003887:''''
b12714835,aub_aco003694:''''
b12528225,aub_aco003236:''v.1''|aub_aco003237:''v.2''
b12497332,aub_aco003669:''''
b12514275,aub_aco003117:''v.1''
b12516570,aub_aco003271:''''
b12537093,aub_aco003167:''''
b1271172x,aub_aco003679:''''
b1259829x,aub_aco003229:''''
b1244232x,aub_aco003698:''v.1''|aub_aco003699:''v.2''|aub_aco003700:''v.3''|aub_aco003701:''v.4''|aub_aco003702:''v.5''|aub_aco003703:''v.6''|aub_aco003704:''v.7''|aub_aco003705:''v.8''|aub_aco003706:''v.9''
b13157450,aub_aco003355:''''
b12496753,aub_aco003593:''''
b12433573,aub_aco003365:''''
b12478027,aub_aco003339:''''
b1272211x,aub_aco003721:''''
b12516661,aub_aco003274:''''
b12671940,aub_aco003621:''v.1''
b12725985,aub_aco003763:''v.1-2''
b12441946,aub_aco003751:''''
b12462998,aub_aco003662:''''
b12515322,aub_aco003127:''''
b12416897,aub_aco003396:''''
b12437359,aub_aco003379:''''
b12442677,aub_aco003531:''''
b12497083,aub_aco003668:''''
b12706139,aub_aco003631:''''
b12440784,aub_aco003659:''''
b12485081,aub_aco003883:''''
b12502996,aub_aco003684:''''
b12408001,aub_aco003372:''''
b1251696x,aub_aco003278:''''
b12431473,aub_aco003645:''''
b12437888,aub_aco003650:''''
b12515838,aub_aco003136:''''
b12521280,aub_aco003284:''''
b12649569,aub_aco003295:''''
b12414621,aub_aco003361:''''
b12434802,aub_aco003382:''''
b12564825,aub_aco003188:''''
b12568909,aub_aco003212:''''
b12496716,aub_aco003617:''''
b12736429,aub_aco003569:''''
b12515383,aub_aco003128:''''
b12716017,aub_aco003636:''''
b12902652,aub_aco003742:''''
b12440966,aub_aco003769:''''
b12471185,aub_aco003324:''''
b12443335,aub_aco003582:''''
b12507945,aub_aco003690:''''
b12479482,aub_aco003867:''''
b12441570,aub_aco003600:''''
b12516673,aub_aco003275:''''
b12568363,aub_aco003208:''''
b12443025,aub_aco003578:''''
b1251553x,aub_aco003132:''''
b12517136,aub_aco003119:''''
b12543123,aub_aco003175:''''
b12444935,aub_aco003535:''''
b12726114,aub_aco003554:''''
b12504609,aub_aco003681:''''
b12568338,aub_aco003207:''''
b12417191,aub_aco003398:''''
b1251651x,aub_aco003264:''''
b12442306,aub_aco003730:''v.1''|aub_aco003731:''v.2''|aub_aco003732:''v.3''
b12441430,aub_aco003729:''''
b12441387,aub_aco003722:''''
b12477801,aub_aco003338:''''
b12520706,aub_aco003143:''''
b1243243x,aub_aco003525:''''
b1248734x,aub_aco003347:''''
b12597661,aub_aco003224:''v.1''|aub_aco003225:''v.2''|aub_aco003226:''v.3''|aub_aco003227:''v.4''
b12503861,aub_aco003619:''''
b12426325,aub_aco003360:''''
b12699676,aub_aco003707:''v.1''|aub_aco003708:''v.2''
b12515930,aub_aco003138:''''
b12509802,aub_aco003267:''''
b12438388,aub_aco003380:''''
b12514238,aub_aco003121:''''
b1269969x,aub_aco003736:''''
b12480927,aub_aco003343:''''
b12687741,aub_aco003628:''v.1''
b12442288,aub_aco003734:''''
b12503083,aub_aco003649:''''
b1252346x,aub_aco003293:''v.1-2''
b12414827,aub_aco003366:''''
b12735449,aub_aco003564:''''
b12726096,aub_aco003553:''''
b12500975,aub_aco003683:''''
b12521589,aub_aco003291:''''
b12569628,aub_aco003215:''''
