003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12395407,"784296505","al-Iḥṣāʼ /"
LeBAU,b12406521,"784300840","al-Madhāhib wa-al-nuẓum al-iqtiṣādīyah /"
LeBAU,b12407872,"784301983","Majmūʻat Khuṭab Muḥammad Ṭalʻat Ḥarb Bāshā :"
LeBAU,b12407951,"784301993","Tārīkh Miṣr al-Iqtiṣādī fī al-ʻUṣūr al-Ḥadīthah /"
LeBAU,b12408049,"784302005","Miṣr bayna ʻahdayn :"
LeBAU,b12408384,"784302045","al-Imtiyāzāt al-ajnabīyah :"
LeBAU,b12408657,"784302080","Hādhihī hiya al-dīmūqrāṭīyah /"
LeBAU,b12408864,"784302105","ʻIlm al-dawlah /"
LeBAU,b12409480,"784302177","Likay lā taḥruthū fī al-baḥr /"
LeBAU,b12409625,"784302192","al-Dīmuqrāṭīyah fī Miṣr bayna al-anṣār wa-al-khuṣūm /"
LeBAU,b12409704,"784302201","al-Ḥurrīyah wa-al-thaqāfah /"
LeBAU,b12409741,"784302206","al-ʻUrūbah awwalan! /"
LeBAU,b12412995,"784303581","Ḥuqūq al-insān :"
LeBAU,b12413859,"784303679","Ḥurrīyat al-raʼy wa-jarāʼim al-ṣiḥāfah wa-al-nashr /"
LeBAU,b1241489x,"784303801","ʻIlm al-iqtiṣād /"
LeBAU,b1241492x,"784303805","Kitāb fawāʼid al-thamarāt al-aḥmadīyah fī al-mabāḥith al-iqtiṣādīyah al-siyāsīyah /"
LeBAU,b12415674,"784304375","Mabādiʼ al-iqtiṣād /"
LeBAU,b12415704,"784304378","Uṣūl ʻilm al-iqtiṣād :"
LeBAU,b12417038,"784304528","Bayanāt al-ḥukūmah wa-qarārāt majlisay al-barlamān :"
LeBAU,b12426738,"784310803","al-Ikhtiyār sharḥ al-Mukhtār :"
LeBAU,b12428097,"784311132","Kitāb Masā’il al-Mardānīyat /"
LeBAU,b12428693,"784311283","Irshād al-ṭālib ilá ahamm al-maṭālib ;"
LeBAU,b12428711,"784311288","Qawāʻid al-aḥkām fī maṣāliḥ al-anām /"
LeBAU,b1242884x,"784311325","Kitāb Masānid al-aʼimmah /"
LeBAU,b12428966,"784311359","al-Thamar al-dānī :"
LeBAU,b1242903x,"784311378","Kitāb al-Baḥr al-zakhkhār al-jāmiʻ li-madhāhib ʻulamāʼ al-amṣār /"
LeBAU,b12429090,"784311391","Fatwá al-khawāṣ fī ḥill mā ṣida bi-al-raṣāṣ /"
LeBAU,b12429119,"784311399","al-Firdaws al-aʻlá /"
LeBAU,b12429211,"784311430","Iʻlām al-muwaqqiʻīn ʻan Rabb al-ʻĀlamīn /"
LeBAU,b12429260,"784311442","al-Istiʻmār al-Amīrkī al-Jadīd, aw, Barnāmaj al-nuqṭah al-rābiʻah /"
LeBAU,b12429454,"784311490","Kitāb al-Radd ʻalā Abī Bakr al-khaṭīb al-Baghdādī :"
LeBAU,b12429934,"784312083","al-Mughnī /"
LeBAU,b12430237,"784312146","Majmūʻat al-rasā’il wa-al-masā’il al-Najdīyah :"
LeBAU,b1243176x,"784312371","al-Muqāranāt al-tashrīʻīyah bayna al-qawānīn al-waḍʻīyah al-madanīyah wa-al-tashrīʻ al-Islāmī :"
LeBAU,b12431825,"784312378","Muḥāḍarāt fī al-qānūn al-madanī :"
LeBAU,b12432076,"784312406","al-Sharʻ al-dawlī fī al-Islām /"
LeBAU,b12432283,"784312435","Hādhā kitāb suʼāl wa jawāb /"
LeBAU,b12433019,"784313503","Ikhtiṣāṣ Maḥkamat al-Ḥuqūq al-ʻUthmānīyah wa-muqābalat dhālika fi al-qawānīn al-ajnabīyah /"
LeBAU,b12433032,"784313506","Qarār ʻadad 69 bi-sha’n ṣalāḥīyt maḥākim Lubnān wa-ta’līfuhā."
LeBAU,b12433366,"784313549","Tanāzuʻ al-ikhtiṣāṣ bayna al-maḥākim al-ahlīyah wa-al-maḥākim al-mukhtalaṭah /"
LeBAU,b12433391,"784313553","Kitāb Tārīkh al-qaḍāʼ fī al-Islām /"
LeBAU,b1243341x,"784313556","Kitāb al-Abḥāth al-sāmīyah fī al-maḥākim al-Islāmīyah /"
LeBAU,b12433640,"784313585","Kitāb al-Ifṣāḥ ʻan maʻānī al-ṣiḥāḥ /"
LeBAU,b12433974,"47247531","al-ʻAhd al-waṭanī fī thalāth sanawāt, 1944-1945-1946."
LeBAU,b12434486,"784313742","al-Majmūʻah al-muwaḥḥadah li-qānūn wa-niẓām Maṣrif al-Ruhūn wa-taʻdīlātihā maʻa baʻḍ al-bayānāt /"
LeBAU,b12434528,"784313749","Imbraṭūrīyat al-ʻabīd al-sūfyītīyah /"
LeBAU,b12435818,"784314996","Muhāḍarat fī al-maṣarīf wa al-aʻmāl al-maṣrifiyah /"
LeBAU,b12437384,"784315771","Mashrūʻ al-Ghāb /"
LeBAU,b12437402,"784315780","Taqrīr ʻan al-siyāsah al-naqdīyah fī al-ʻIrāq /"
LeBAU,b12437554,"784315806","al-Būrṣāt wa-tijārat al-quṭn /"
LeBAU,b12437955,"784316368","al-Zayt fī al-Sharq al-Awsaṭ /"
LeBAU,b12439708,"784317842","al-Qānūn al-asāsī al-ʻIrāqī maʻa taʻdīlātih /"
LeBAU,b12439770,"784317849","Sharḥ al-qānūn al-dustūrī wa-al-qānūn al-asāsī al-ʻIrāqī /"
LeBAU,b12440383,"784318119","al-Nafṭ mustaʻbidu al-shuʻūb /"
LeBAU,b12440942,"784319013","Mūjaz fī ʻilm al-mālīyah /"
LeBAU,b12441004,"784319069","Mūjaz fī ʻilm al-mālīyah /"
LeBAU,b12441120,"784319204","al-Qānūn al-Dustūrī al-Miṣrī wa-taṭawwur niẓām al-dawlah al-Miṣrīyah ibtidaʼan min al-fatḥ al-ʻUthmānī (ʻām 1517 M) ilá al-waqt al-ḥāḍir /"
LeBAU,b12441132,"784319205","al-Umam al-Muttaḥidah /"
LeBAU,b12441247,"784319729","ʻAlá hāmish al-dustūr /"
LeBAU,b12441405,"784319779","ʻAlāqat tadrīs al-tārīkh bi-mabda’ al-salām al-ʻālamī /"
LeBAU,b12441673,"784319841","al-Kutub al-mutabādalah bi-sha’n muqtaraḥāt li-ittifāq Injlīzī Miṣrī."
LeBAU,b12441727,"784319846","Taqārīr jalsāt al-Majlis al-Kabīr lil-Iyālah al-Tūnisīyah wa-lajnat al-taḥkīm."
LeBAU,b12441909,"784319864","al-Muʻāhadāt al-dawlīyah al-Sūrīyah al-thunāʼīyah, min ʻām 1923 li-ʻām 1955 /"
LeBAU,b12442355,"784319911","Muʻāhadat taslīm al-mujrimīn bayna al-ʻIrāq wa-Turkīyah :"
LeBAU,b12442379,"784319913","al-Ṣaḥīfah al-sawdāʼ fī tafnīd al-muʻāhadah al-ʻIrāqīyah - al-Barīṭānīyah li-sanat 1930 /"
LeBAU,b1244246x,"784319922","Muḥāḍarat maʻālī al-Ustādh Makram ʻUbayd Bāshā fī al-Jāmiʻah al-Miṣrīyah :"
LeBAU,b12442495,"784319925","al-Murshid fī taqdīr al-arbāḥ al-tijārīyah wa-al-ṣināʻīyah /"
LeBAU,b12442525,"784319930","al-Ḍarībah ʻalá al-arbāḥ al-tijārīyah wa-al-ṣināʻīyah wa-taṭbīqātuhā al-ʻamalīyah /"
LeBAU,b12442707,"784319948","Ḍarībat al-dakhl fī al-tashrīʻ al-Miṣrī /"
LeBAU,b12442847,"784319963","Niẓām al-jamārik wa-al-lāʼiḥah al-tanfīdhīyah :"
LeBAU,b12443141,"784320007","Bayna al-baqāʼ wa-al-fanāʼ /"
LeBAU,b12443190,"784320016","Marsūm ishtirāʻī ʻadad 130/L bi-tanẓīm rasm al-ṭawābiʻ."
LeBAU,b1244327x,"784320048","Niẓām tawḥīd al-ṭawābiʻ /"
LeBAU,b12443566,"784320147","Majmūʻat al-qarārāt al-tamyīzīyah li-maḥkamaty al-tamyīz al-Lubnānīyah wa-al-Sūrīyah min sanat 1919 ilá sanat 1929 /"
LeBAU,b12443578,"784320149","al-Mustaṣfá min ʻilm al-uṣūl /"
LeBAU,b1244358x,"784320154","Miftāḥ al-muqarrarāt al-tamyīzīyah al-ḥuqūqīyah :"
LeBAU,b12443669,"784320167","Majmūʻah taḥtawī ʻalá al-qawānīn al-ātīyah :"
LeBAU,b12443852,"784320677","Kitāb Irshād al-ʻIbād ilá al-ghazw wa-al-jihād /"
LeBAU,b12443967,"784320696","Sharḥ Qānūn al-Milkīyah al-ʻAqārīyah :"
LeBAU,b12444030,"784320705","al-Shuyūʻīyah fī al-Islām /"
LeBAU,b12444078,"784320709","Qānūn al-Mūjibāt wa-al-ʻUqūd /"
LeBAU,b12444406,"784320864","Mas’alat al-masā’il fī Lubnān :"
LeBAU,b12444443,"784320896","al-Ishtirākīyah fī al-Islām /"
LeBAU,b12445095,"784321005","al-Maʻbūd alladhī hawá :"
LeBAU,b12445228,"784321018","al-Ḥuqūq al-jazāʼīyah al-ʻāmmah :"
LeBAU,b1244568x,"784321113","al-Durūs al-faraḍīyah /"
LeBAU,b12446245,"784321270","Qānūn al-jazāʼ al-Hamāyūnī /"
LeBAU,b12446336,"784321281","Mūjaz fī al-ḥuqūq al-dawlīyah al-khāṣṣah /"
LeBAU,b12447201,"784321460","al-Jamʻīyāt al-taʻāwunīyah wa-niẓāmuhā fī Miṣr /"
LeBAU,b12447298,"784321505","Kitāb Marjaʻ al-ṭullāb :"
LeBAU,b12448990,"784322304","Fī al-qaḍāʼ al-idārī /"
LeBAU,b12449064,"784322318","al-Qaḍāʼ al-idārī /"
LeBAU,b12450042,"784322519","al-Tashrīʻ al-jumrukī /"
LeBAU,b12450108,"784322532","Sharḥ al-qānūn al-idārī :"
