b12453882,aub_aco004139:'v.1'|aub_aco004140:'v.2'
b12451435,aub_aco004020
b12467923,aub_aco004255
b12463267,aub_aco004028
b12478349,aub_aco004326
b12576219,aub_aco004711
b12560182,aub_aco004655
b12503708,aub_aco004433
b12472153,aub_aco004275
b12472670,aub_aco004292:'v.1'
b25947618,aub_aco004745
b12482651,aub_aco004332
b12519121,aub_aco004507
b12454473,aub_aco004042
b12453687,aub_aco004138
b12461052,aub_aco003998:'v.1'|aub_aco003999:'v.2'|aub_aco004000:'v.3'|aub_aco004001:'v.4'|aub_aco004002:'v.5'
b12448527,aub_aco004070
b12507234,aub_aco004458
b12558485,aub_aco004673
b12548510,aub_aco004620
b12461453,aub_aco004027
b12575859,aub_aco004684
b12594088,aub_aco004725
b12448898,aub_aco004045
b12561046,aub_aco004676
b12939766,aub_aco004208
b1246952x,aub_aco004304
b12543858,aub_aco004722
b12457929,aub_aco004150
b12491810,aub_aco004392
b12470272,aub_aco004314
b12552562,aub_aco004675
b12460461,aub_aco004194
b12456238,aub_aco004091
b12462482,aub_aco004218
b12457930,aub_aco004151
b12488203,aub_aco004411
b12528134,aub_aco004526
b12452804,aub_aco004157
b1246126x,aub_aco004009:'v.1'|aub_aco004010:'v.2'|aub_aco004011:'v.3'|aub_aco004012:'v.4'|aub_aco004013:'v.5'
b12494811,aub_aco004390
b12543810,aub_aco004723
b12450881,aub_aco004047
b12530657,aub_aco004563:'v.1'|aub_aco004565:'v.2'
b12572019,aub_aco004706
b12575999,aub_aco004707
b12609602,aub_aco004716
b25927838,aub_aco004699
b12557535,aub_aco004663
b12452683,aub_aco004118:'v.1'
b12448394,aub_aco004071
b25931210,aub_aco004688:'v.5'
b12463863,aub_aco004201
b12580235,aub_aco004681
b1245428x,aub_aco004052
b12491962,aub_aco004394
b1245395x,aub_aco004123
b12496856,aub_aco004430
b1257580x,aub_aco004734
b12782774,aub_aco004367
b12509632,aub_aco004566
b12539429,aub_aco004662
b12576062,aub_aco004709
b12533762,aub_aco004579
b12455441,aub_aco004094
b12462585,aub_aco004228
b12471197,aub_aco004280
b12521693,aub_aco004661
b12571465,aub_aco004696:'v.1'
b13534932,aub_aco004152:'v.1'|aub_aco004153:'v.2'
b12460394,aub_aco004170
b12523872,aub_aco004509
b13078483,aub_aco004660
b12556531,aub_aco004517
b12571507,aub_aco004698
b1252847x,aub_aco004587
b1254842x,aub_aco004618
b12469403,aub_aco004301
b12571908,aub_aco004705
b12464272,aub_aco004205
b12448473,aub_aco004085
b12466037,aub_aco004210
b12572615,aub_aco004505
b12556701,aub_aco004714
b12509644,aub_aco004450:'v.1'|aub_aco004451:'v.2'
b12489165,aub_aco004416
b12525704,aub_aco004511
b12553682,aub_aco004626
b12451253,aub_aco004100:'v.1'
b12466256,aub_aco004225
b12536660,aub_aco004598
b12551934,aub_aco004724
b12467625,aub_aco004254
b12498610,aub_aco004424
b12503447,aub_aco004432
b1245218x,aub_aco004103
b12470399,aub_aco004317
b12522636,aub_aco004508
b12448503,aub_aco004073
b12460485,aub_aco004195
b12471902,aub_aco004272
b12513167,aub_aco004485
b12582888,aub_aco004739:'v.1'|aub_aco004740:'v.2'|aub_aco004741:'v.3'|aub_aco004742:'v.4'|aub_aco004743:'v.5'
b18270189,aub_aco004329
b1254436x,aub_aco004600
b12571714,aub_aco004703
b12474745,aub_aco004299
b12692207,aub_aco004664:'v.1'|aub_aco004665:'v.2'|aub_aco004666:'v.3'|aub_aco004667:'v.4'|aub_aco004668:'v.5'|aub_aco004669:'v.6'|aub_aco004670:'v.7'|aub_aco004671:'v.8'
b1258079x,aub_aco004733
b1247003x,aub_aco004308
b12560042,aub_aco004625
b12761576,aub_aco004226
b12469890,aub_aco004306
b12484659,aub_aco004420
b12520007,aub_aco004503
b12580776,aub_aco004732
b12607290,aub_aco004519
b12670704,aub_aco004224
b25908042,aub_aco004562:'v.4'
b12468460,aub_aco004258
b1247079x,aub_aco004287
b12530372,aub_aco004558:'v.1'
b12501657,aub_aco004436
b12494926,aub_aco004425
b12543822,aub_aco004719
b12511535,aub_aco004464
b12526198,aub_aco004514
b12447122,aub_aco004033
b12519534,aub_aco004504
b12475610,aub_aco004106
b12462937,aub_aco004242
b12507659,aub_aco004459
b1245705x,aub_aco004175
b12556944,aub_aco004656
b12537123,aub_aco004657
b1246210x,aub_aco004216
b12490702,aub_aco004388
b25931180,aub_aco004689:'v.6'|aub_aco004690:'v.7'|aub_aco004691:'v.8'|aub_aco004692:'v.9'|aub_aco004693:'v.10'
b12468988,aub_aco004269:'v.1-2'
b12542842,aub_aco004730
b12940781,aub_aco004235
b12469002,aub_aco004319
b12459239,aub_aco004165
b12466141,aub_aco004240
b12448643,aub_aco004056:'v.2'
b12494604,aub_aco004354
b12453869,aub_aco004130
b13151630,aub_aco004651
b12544000,aub_aco004717
b12544383,aub_aco004601
b12468137,aub_aco004257
b12528936,aub_aco004589
b12460266,aub_aco004192:'v.1-3'
b12554984,aub_aco004652
b12465203,aub_aco004227
b1283600x,aub_aco003868:'v.1'|aub_aco000208:'v.2'
b12463668,aub_aco004196
b12469579,aub_aco004276
