003/Inst,001/BSN,OCLC number(s),245a/Title
NIC,1596356,"12107982","Ansāb al-ashrāf /"
NIC,1606259,"64013233","ʻUmar ibn al-Khaṭṭāb fī al-Islām :"
NIC,1649256,"23519916","Fayḍ al-khāṭir :"
NIC,1662569,"63977416","Qurrat al-ʻayn :"
NIC,1679845,"21376418","al-Wasīṭ fī al-ḍarāʾib wa-al-rusūm al-Lubnānīyah :"
NIC,1680112,"63979355","Tārīkh al-Dawlah al-ʻAlīyah al-ʻUthmānīyah wa-tārīkh al-ʻāʾilah al-Khidīwīyah :"
NIC,1681974,"47063745","al-Lubāb fī tahdhīb al-ansāb /"
NIC,1682172,"23494110","Falsafat al-thawrah /"
NIC,1683145,"31925281","al-Jāmiʻ al-Mujāhidī fī al-Mawṣil /"
NIC,1683479,"12748361","Tārīkh al-taʻlīm fī ʻAsr Muḥammad ʻAlī /"
NIC,1743381,"22674399","al-Fihris al-jināʾī li-qaḍāʾ Maḥkamat al-Naqḍ fī al-muddah min Nūfimbir 1928 li-ghāyat Uktūbir 1945 /"
NIC,1747792,"64017528","Kitāb al-Afnūn fī mabādīʼ al-ʻulum /"
NIC,1786982,"64021045","Sharḥ Abī ʻAbd Allāh Muḥammad ibn Qāsim al-Sijilmāsī al-Ribāṭī ʻalá Naẓm al-ʻAmal li-Abī Zayd ʻAbd al-Raḥmanān ibn ʻAbd al-Qādir al-Fāsī /"
NIC,1879941,"22324785","Sharḥ Nahj al-balāghah /"
NIC,1882541,"64677304","al-Azyāʾ al-Bābilīyah :"
NIC,1910203,"64680545","Qāmūs al-rijāl :"
NIC,1921228,"23485088","ʻUmdat al-ṭālib fī ansāb Āl Abī Ṭālib /"
NIC,1923744,"18688988","Kitāb wafāʾ al-wifā bi-akhbār dār al-Muṣṭafá /"
NIC,1923807,"43746018","Qawāfil al-ʻUrūbah wa-mawākibuhā khilāl al-ʻuṣūr /"
NIC,1926062,"26344990","al-Aʻlām :"
NIC,1926273,"43241967","Qabla fawāt al-alwān :"
NIC,1926281,"64025416","al-Muṣawwar fī tārīkh Lubnān :"
NIC,1926481,"64025444","Mudhakkirāt al-Amīr ʻAbd Allāh Ākhir mulūk Banī Zīrī bi-Gharnāṭah, (469-483) :"
NIC,1927463,"41100241","Rūḥ al-ʻurūbah /"
NIC,1927499,"64025549","[Jawlah fī rubūʻ Ifrīqīyah :"
NIC,1930350,"61553541","Muqaddimat Ibn Khaldūn :"
NIC,1931821,"16464598","ʻAlá hāmish al-sīyāsah :"
NIC,1932120,"42875542","Kitāb al-wuzarāʼ wa-al-kuttāb /"
NIC,1932518,"64026165","Luqṭat al-ʻajlān mimmā tamassu ilá maʾrifatihi ḥājat al-insān. wa-fī ʾakhirihā Khabiʾat al-akwān fī iftirāq al-umam ʻalʾa al-madhāhib wa-al-adyān."
NIC,1934318,"55537821","al-Maghrib fī dhikr bilād Ifrīqīyah wa-al-Maghrib,"
NIC,2021911,"18330499","al-Musnad /"
NIC,2303132,"13095721","Tārīkh madīnat Dimashq :"
NIC,3138231,"52315013","Tārīkh quḍāt al-Andalus /"
NIC,3619034,"23484893","Tafsīr al-tārīkh /"
NIC,3621135,"11789148","al-Iʻlān bi-al-tawbīkh li-man dhamma al-tārīkh /"
NIC,3638580,"37977147","al-Bidāyah wa-al-nihāyah fī al-tārīkh,"
NIC,3638625,"20517946","al-Tanbīh wa-al-ishrāf /"
NIC,3639428,"909881","[Isālat al-hadārah al-'Arabīyah (romanized form)]"
NIC,3640351,"35790811","Taʼrīkh al-Yaʻqūbī /"
NIC,365290,"9887777","Das biographische Lexikon des Ṣalāḥaddīn Ḫalīl ibn Aibak aṣ-Ṣafadī."
