003/Inst,001/BSN,OCLC number(s),245a/Title
NNC,2679388,"23512345","Manṭiq al-qūwah, aw, Falsafat al-inqilābāt fī al-Sharq al-ʻArabī / Ghassān Tuwaynī."
NNC,2686600,"45086669","al-Barlamān al-amthal."
NNC,2686761,"45088351","al-Thawrāt wa-al-inqilābāt fī dhākirat al-ʻālam al-ʻArabī."
NNC,2695207,"22675442","al-Mūjaz fī sharḥ al-qānūn al-madanī al-Irāqī /"
NNC,3054856,"16995543","Saḥiḥ Muslim bi sharḥ al-Nawawī."
NNC,3062700,"47735526","Kitāb Badʾ̄iʻ al-ṣanāʾiʻ fī tartīb al-sharāʾiʻ,"
NNC,3062922,"47747014","Kitāb al-Muntaqā,"
NNC,3063234,"26152259","al-Risālah /"
NNC,3063298,"43736092","Fatāwá al-Subkī /"
NNC,3063351,"17403278","Manṭiq Arisṭū."
NNC,3067057,"47789961","Kalīla wa-Dimnah,"
NNC,3067502,"30620133","al-Taʻrīf bi-al-muʾarrikhīn :"
NNC,3068050,"45301345","Kharīdat al-qaṣr wa-jarīdat al-ʻaṣr, qism shuʻarāʾ Miṣr /"
NNC,3068052,"41597021","Quḍāt Dimashq :"
NNC,3068239,"47806351","al-Muwaṭṭaʾ, li-imām al-aʾimmah waʻālim al-Madīnah, Mālik ibn Anas."
NNC,3068244,"47806405","Kitāb Alf laylah wa-laylah."
NNC,3068283,"78009798","Fayḍ al-khātir wa-huwa majmūʻ maqālāt adabīyah wa-ijtimāʻīyah."
NNC,3068440,"13240497","Tarīkh al-ʾArab qabla al-Islām."
NNC,3068443,"40219697","Bulūgh al-arab fī maʻrifat aḥwāl al-ʻArab /"
NNC,3068477,"23485064","Dīwān Dīk al-Jinn al-Ḥimṣī /"
NNC,3071311,"29051965","al-Taʻrīf fī al-adab al-ʻArabī /"
NNC,3071325,"23516502","Fawāt al-wafayāt /"
NNC,3071694,"9152312","Dīwān Ibn Ḥayyūs,"
NNC,3071982,"47827255","Abū Bekr al-sadīq."
NNC,3072137,"18484128|23486066","Dīwān Abī al-Ṭayyib al-Mutanabbī /"
NNC,3072139,"30675308","Sīrat al-ustādh Jūdhar :"
NNC,3072276,"23511676","Dīwān al-Sarī al-Raffāʾ."
NNC,3072730,"45139756","Muqaddimah li-dars lughat al-ʻArab wa-kayfa naḍaʻu al-muʻjam al-jadīd /"
NNC,3072902,"23491843","Kitāb al-ibdāl /"
NNC,3072943,"24047041|60388802","Tahdhīb al-asmāʼ wa-al-lughāt /"
NNC,3073384,"42588825","Fahrasat mā rawāhu ʻan shuyūkhihi min al-dawāwīn al-muṣannafah fī ḍurūb."
NNC,3073388,"28187670","Jāmiʻ al-taṣānīf al-ḥadīthah allatī ṭubiʻat fī al-bilād al-sharqīyah wa-al-gharbīyah wa-al-Amrīkīyah /"
NNC,3073618,"25416744","Law dictionary, English-Arabic :"
NNC,3073626,"10958476","Inbāh al-ruwāh àlā anbāh al-nuḥāh bi-taḥqīq Muḥammad  Abū al-Faḍl Ibrāhīm."
NNC,3073631,"40970136","Khalq al-insān /"
NNC,3073709,"23488210","Ḥāshiyat al-Ṣabbān."
NNC,3073797,"47849848","Akhbār al-aʻyān fī jabal Lubnān,"
NNC,3076282,"43243925","Tārīkh al-adab al-ʻArabī fī al-ʻIrāq :"
NNC,3076294,"11174289","Nawādir al-makhṭūṭāt /"
NNC,3076366,"47858113","Qiṣaṣ ʼal-ʻArab /"
NNC,3076744,"19387220","Sharḥ dīwān al-ḥamāsah,"
NNC,3076918,"23510403","Zahr al-ādāb."
NNC,3087679,"47978182","al-Furūq :"
NNC,3089711,"48019790","Islam and fine arts,"
NNC,3098479,"22287648","al-Nakabāt,"
NNC,3098553,"34702757","al-Dalīl ilā murādif al-ʻāmmī wa-al-dakhīl."
NNC,3111722,"35743157","Awrāq al-bardī al-ʻArabīyah bi-Dār al-Kutub al-Miṣrīyah /jamaʻahāh wa-ʻallaqa ʻalayhā wa-waḍaʻahā bi-al-Injilīzīyah Adūlf Jrūhmān ; ishtaraka maʻa al-muʾallif fī naql al-kitāb ilá al-ʻArabīyah Ḥasan Ibrāhīm Ḥasan ; rājaʻa al-tarjamah ʻAbd al-Ḥamīd Ḥasan."
NNC,3122392,"48209897","Al-jawāb al-ṣaḥīḥ liman badal dīn al-Masīḥ ..."
NNC,3123181,"48228778","Kitāb al-Rawd al-naḍīr;"
NNC,3170031,"48786168","Majmūʻat al-rasāʾil ..."
NNC,3170327,"42846970","Dīwān ..."
NNC,3177501,"48839217","Al-khamīs ..."
NNC,3179219,"18766633","Alf laylah wa-laylah ..."
NNC,3233723,"23503643","Tabyīn kadhib al-muftarĭ."
NNC,3233726,"31063398","Hādhā Kitāb Kharīdat al-ʻajāʾib wa-farīdat al-gharāʾib,"
NNC,3233731,"22865694","Shadharāt al-dhahab fī akhbār man dhahab /"
NNC,3233732,"23489730","Akhbār al-Ẓirāf."
NNC,3233763,"50408102","Kitāb ʻuyūn al-ānbāʾ fī ṭabaqāt al-aṭibbāʾ ..."
NNC,3239574,"82001908","al-Dawlah al-ʻUthmānīyah qabla al-Dustūr wa-baʻdah."
NNC,3266832,"44846110","al-Luzūmīyat;"
NNC,3348238,"23495140","Muʻjam al-Qurʾān;"
NNC,3365489,"29991510","Majmūʻat rasāʾil Rashīd al-Dīn al-Waṭwāṭ /"
NNC,3366792,"44814433","Kitāb alf laylah wa-laylah."
NNC,3366795,"23519387","Mālik ibn Anas."
NNC,3367853,"21127087","al-Istibṣār fi-mā ikhtalafa min al-akhbār /"
NNC,3367899,"234691825","Qurrat ʻuyūn al-akhyār li-takmilat Radd al-muḥtār ʻalá al-durr al-mukhtār sharḥ Tanwīr al-abṣār,"
NNC,3367969,"23486738","al-Inṣāf fī masāʾil al-khilāf bayna al-naḥwiyīn al-Baṣriyīn, wa-al-Kūfiyīn /"
NNC,3368364,"18769412","Kitāb al-nawādir,"
NNC,3368381,"42819482","Tārīkh Ibn Khaldūn fī ayyām al-ʻArab wa-al-ʻajam ..."
NNC,3368387,"23483545","Rasāʾil taʾrīkhīyah /"
NNC,3368389,"15730187","Zubdat al-ḥalab min tārīkh Ḥalab,"
NNC,3368391,"40688295","Tahdhīb al-tārīkh Ibn ʻAsākir /"
NNC,3369611,"39835018","al-Makhṭūṭāt al-tārīkhīyah fī khizānat kutub al-Matḥaf al-ʻIrāqī bi-Baghdād /"
NNC,4392906,"51104138","al-Jāmiʻ al-mukhtaṣar fī ʻunwān al-tawārīkh wa-ʻuyūn al-siyar :"
NNC,4887366,"40975222","Kitāb Silk al-durar fī aʻyān al-qarn al-thānī ʻashar /"
NNC,4890688,"28925620","Kitāb al-iṣābah fī tamyīz al-Ṣaḥābah /"
