003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,000595131,,"Sharḥ al-Ṣamadīyah [li] Muḥammad ibn al-Ḥusayn ibn ʻAbd al-Ṣamad al-ʻĀmilī al-shahīr bi-al-Shaykh al-Bahāʼī al-mutawaffʹa sanat 1030 /"
NNU,000751830,,"Dīwān /"
NNU,001281240,,"Khazānat al-khayāl fī al-adāb wa-al-ḥikam wa-al-mawāʻiẓ wa-al-munāẓarāt wa-al-tarājum wa-al-amthāl /"
NNU,001281293,,"Tārīkh al-tarjamah wa-al-ḥarakah al-thaqāfīyah fī aṣr Muḥammad ʻAlī /"
NNU,001470027,,"Dirāsah wajīzah ḥawla ashʻār Hātif al-ʻArabīyah :"
NNU,001496929,,"Tawjīh iʻrāb abyāt mulghazat al-iʻrāb /"
NNU,001500661,,"Dīwān Aḥmad ibn Abī al-Qasim al-Khallūf al-Andalusī."
NNU,001589207,,"Fuṣūl fī al-adab wa-al-naqd /"
NNU,001592480,,"Amālī fī ʻilm al-bayān wa-tārīkhih /"
NNU,001597538,,"Diwān Ibn al-Dahhān Abū al-Faraj Muhadhab al-Dīn ʻAbd Allāh ibn Asʻad al-Mawṣilī ; ḥaqqaqahu wa-aʼadda takmīlahu ʻAbd Allāh al-Jubūrī."
NNU,001628357,,"Iṣṭilāḥāt ʻArabīyah li-fann al-taṣwīr /"
NNU,001658803,,"al-Ittijāh al-qawmī fī al-shiʻr al-ʻArabī al-ḥadith /"
NNU,001674698,,"al-Bāb al-marṣūd /"
NNU,001676529,,"Maʻa al-adab al-ʻArabī al-qadīm /"
NNU,001676530,,"Min adab al-Furs wa-al-Turk /"
NNU,001676540,,"Dīwān Ibn Hānī /"
NNU,001676560,,"Dīwān Dīk al-Jinn al-Ḥimṣī /"
NNU,001676621,,"Kitāb baḥth al-maṭālib fī ʻilm al-ʻArabīyah /"
NNU,001676900,,"al-Niṣf al-awwal min Kitāb al-zahrah /"
NNU,001677020,,"Tuḥfat al-ḥakīm :"
NNU,001677026,,"Kitāb al-Nafs /"
NNU,001677047,,"al-Akhlāq ʻinda al-Ghazzālī /"
NNU,001679041,,"Zawbaʻat al-duhūr /"
NNU,001679726,,"Tārīkh al-khaṭṭ al-ʻArabī wa-ādābuh :"
NNU,001679734,,"Kitāb al-afʻāl /"
NNU,001679741,,"Naḥwa ʻArabīyah muyassarah"
NNU,001679743,,"Durrat al-ghawwāṣ fī awhām al-khawāṣṣ /"
NNU,001679877,,"Sharḥ Tuḥfat al-khalīl fī al-ʻarūḍ wa-al-qāfiyah /"
