003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,000592563,,"Fī mahabb al-rīḥ /"
NNU,000702185,,"ʻArāʼis al-Murūj /"
NNU,000739890,,"Abū al-Hawl yaṭīr /"
NNU,000746720,,"Tārīkh al-adab al-Turkī /"
NNU,000773454,,"Qiṣaṣ min al-ḥayāt /"
NNU,001180841,,"Ḥurrīyat al-fikr wa-abṭāluhā fī al-tārīkh /"
NNU,001266519,,"al-Anwār al-Muḥammadīyah min al-mawāhib al-ludanīyah /"
NNU,001280020,,"Jāmiʻ al-bayān ʻan taʼwīl āy al-Qurʼān /"
NNU,001584599,,"Madrasat al-shayṭān /"
NNU,001627209,,"Dhikrá Abī al-Thanāʼ al-Alūsī :"
NNU,001627212,,"Tārīkh al-Yazīdīyah wa-aṣl ʻaqīdatihim /"
NNU,001674715,,"Min abṭāl al-asāṭīr al-Yūnānīyah :"
NNU,001676344,,"al-Muwashshá :"
NNU,001676358,,"Uṣūl al-dīn al-Islāmī /"
NNU,001676362,,"Hādhā Kitāb jāmiʻ al-mutūn fī ḥaqq anwāʻ al-ṣifāt al-ilāhīyah wa-al-ʻaqāʼid al-Māturīdīyah wa-alfāẓ al-kufr wa-taṣḥīḥ al-aʻmāl al-ʻajībīyah /"
NNU,001676628,,"al-Hawá wa-al-shabāb /"
NNU,001676643,,"Anīn al-ḥayārá /"
NNU,001676855,,"al-Islām wa-al-Masīḥīyah fī Lubnān /"
NNU,001676950,,"Ghāyat al-ikhtiṣār fī al-buyūtāt al-ʻAlawīyah al-maḥfūẓah min al-ghubār /"
NNU,001676956,,"Hādhā Kitāb Rawḍat al-nāẓirīn wa-khulāṣat manāqib al-ṣāliḥīn /"
NNU,001676979,,"ʻAbd Allāh ibn Sabaʼ, al-madkhal :"
NNU,001676981,,"Aqbās min manāqib Abī Hurayrah :"
NNU,001677116,,"al-Akhlāq al-Islāmīyah /"
NNU,001677146,,"Makārim al-akhlāq /"
NNU,001677156,,"al-ʻĀdāt fī al-ziyārāt wa-al-walāʼim wa-al-aʻrās wa-al-maʼātim wa-ādāb al-maḥāfil wa-ghayrihā mimmā huwa jārin wa-muṣṭalaḥ ʻalayhi ʻinda al-shuʻūb al-mutamaddinah /"
NNU,001677288,,"Arbaʻ rasāʼil Ismāʻīlīyah"
NNU,001677297,,"Mustaqbal al-Islām /"
NNU,001677366,,"Jaʻfar ibn Muḥammad al-Imām al-Ṣādiq ʻalayhi al-salām"
NNU,001677387,,"al-ʻIzz ibn ʻAbd al-Salām"
NNU,001679072,,"Aṭyāf min Lubnān /"
NNU,001679831,,"Adab al-Shīʻah ilá nihāyat al-qarn al-thānī al-Hijrī,"
NNU,001680055,,"Maʻa Abī al-ʻAlāʼ fī sijnih /"
NNU,001680138,,"Hādhā Dīwān Mirʼāt al-shuhūd fī madḥ Sulṭān al-al-Wujūd ṣallá Allāh ʻalayhi wa-sallam /"
NNU,001680152,,"Dīwān / Nāṣiḥ al-Dīn Abī Bikr Aḥmad ibn al-Ḥusayn al-Arrajānī; saḥḥaḥuhu wa-fassara al-Gharīb min alfāẓuhu Aḥmad ibn ʻAbbās al-Azharī."
