003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,001678743,"27367121","Miṣr al-ẓāfirah :"
NNU,001678754,"28271626","Maḥāḍir al-muḥādathāt al-siyāsīyah wa-al-mudhakkirāt al-mutabādalah bayna al-ḥukūmah al-Miṣrīyah wa-ḥukūmat al-Mamlakah al-Mutaḥḥidah :"
NNU,001678774,"27888133|20409494","Kitāb akhbār al-uwal fī-man taṣarrafa fī Miṣr min arbāb al-duwal /"
NNU,001678776,"8545931","al-Ishārah ilā man nāla al-wizārah /"
NNU,001678777,"28784752","Kitāb Qawānīn al-dawāwīn /"
NNU,001678789,"15059764","al-Fāṭimīyūn fī miṣr wa-aʻmāluhum al-siyāsīyah wa-al-dīnīyah bi-wajhin khāṣṣ."
NNU,001678878,"19110782","Miḥnat al-dustūr, 1923-1952"
NNU,001678899,"24662896","Falsafat al-thawrah fī al-mīzān /"
NNU,001679107,"19638435","al-Alʻāb al-shaʻbīyah fī al-ʻImārah,"
NNU,001679109,"22377554","al-Madkhal ilā ʻilm al-fūlklūr,"
NNU,001679110,"11482846","Shaqāwāt Baghdād fī al-ʻaṣr al-māḍī /"
NNU,001679111,"19475151","Taqālīd al-zawāj fī al-iqlīm al-Sūrī."
NNU,001679114,"23503696","al-Alʻāb al-shaʻbīyah li-ṣibyān Sāmarrāʼ /"
NNU,001680097,"21506318","Mushkilat al-mujtamaʻ al-ʻArabī al-muʻāṣir,"
NNU,001680103,"29350207","al-Iʻlām wa-al-diʻāyah /"
NNU,001680125,"14473442","ʻIlm al-ijtimāʻ al-rīfī."
NNU,001682195,"18882848","Sharḥ asmāʼ al-ʻuqqār /"
NNU,001682220,"23509317","Risālat al-Kindī fī ʻamal al sāʻāt /"
NNU,001682310,"8616648","Muʼallafāt Ibn al-Jawzī,"
NNU,001682655,"16075004","Tārīkh al-jamʻīyāt al-sirrīyah wa-al-ḥarakāt al-hudāmah :"
NNU,001685132,"11789625","Sharḥ qānūn al-ʻuqūbāt al-jadīd :"
NNU,001700854,"16464802","Siyāsat al-ghad;"
NNU,003255611,"7872349","al-Bayzarah"
