003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,001578791,,"Akhbār al-naḥwīyīn al-Baṣrīyīn /"
NNU,001657059,,"ʻAlá hāmish al-Sīrah /"
NNU,001657075,,"Aghānī Shīrāz, aw,"
NNU,001676702,,"al-Jāmiʻ li-mufradāt al-adwīyah wa-al-aghdīyah."
NNU,001676706,,"Fihrist al-makhṭūtāt al-ʻArabīyah fī khizānat Qāsim Muḥammad al-Rajab bi-Baghdād,"
NNU,001676799,,"al-Amthāl al-Baghdādīyah al-muqāranah :"
NNU,001685289,,"al-Dīmuqrāṭīyah-- abadan /"
NNU,001768020,,"al-Shawqīyāt /"
NNU,001904886,,"al-Radd ʻalá--"al-āyāt al-shayṭānīyah" /"
NNU,002251381,,"Nahj al-balāghah :"
NNU,002769278,,"Fihris ..."
NNU,002774017,,"Fihris al-kutub al-ʻArabīyah al-mawjūdah bi-al-Dār."
