003/Inst,001/BSN,OCLC number(s),245a/Title
NjP,2752497,"16962814|178186136","Manhaj al-sadiqin fi ilzam al-mukhalifin."
NjP,439048,"25606519|175954904","al-Arbaʻūn ḥadīth fī ḥuqūq al-ikhwān /"
NjP,196425,"29271966|175435345","Kitāb al-Ghaybah /"
NjP,2834300,"42898906|178118398","Kilīd fahm-i Qurʼān ..."
NjP,776868,"176697668|27178675","ʻAlī ibn Mūsá al-Riḍā, ʻalayhimā al-salām, wa-al-Qurʼān al-ḥakīm /"
NjP,399742,"22068398","Ṣaḥīfat al-Imām al-Riḍā, ʻalayhi al-salām /"
NjP,467162,"23699687","Ḍiyāfat al-ikhwān wa-hadīyat al-khallān /"
NjP,757349,"25400305|176577319","Ḥilyat al-abrār fī aḥwāl Muḥammad wa-Ālihi al-aṭhār, ʻalayhim al-salām /"
NjP,676178,"175672752|25345051","Kashf al-asrār fī sharḥ al-Istibṣār /"
NjP,1618452,"177416772|33107203","al-Muqniʻ fī maʻrifat marsūm maṣāḥif ahl al-amṣār maʻa kitāb al-nuqaṭ /"
NjP,1435206,"176759567|20480845","Ithbāt al-waṣīyah lil-Imām ʻAlī ibn Abī Ṭālib /"
NjP,2834310,"42898975|178118527","Mutashābih al-Qurʼān wa-mukhtalifuh."
NjP,774158,"26369310","al-Rasāʼil al-iʻtiqādīyah /"
NjP,1603159,"14065789","Radd al-Imām al-Dārimī ʻUthmān ibn Saʻīd ʻalá Bishr al-Miraysī al-ʻanīd /"
NjP,2754040,"18305458|178206516","Min ḥadīth al-rakb al-Maghribī."
NjP,2835217,"42932719","al-Washīʻah fī naqd ʻaqāʾid al-shīʻah."
NjP,751044,"176542084|26879573","al-Juzʼ al-awwal [-al-thānī] min al-Insān al-kāmil fī maʻrifat al-awākhir wa-al-awāʼil /"
NjP,480808,"25817580","Anwār al-badrayn fī tarājim ʻulamāʼ al-Qaṭīf wa-al-Iḥsāʼ wa-al-Baḥrayn /"
NjP,1150185,"176726628|37243109","Matn Iḍāʼat al-dujunnah fī iʻtiqād Ahl al-Sunnah /"
NjP,1113373,"36355443","Sihām al-iṣābah fī al-daʻawāt al-mustajābah /"
NjP,283378,"28300223|175421978","Madārik al-ʻUrwah al-wuthqá :"
NjP,441291,"175971116|25296607","Maʻdin al-jawāhir wa-riyāḍat al-khawāṭir /"
NjP,2786885,"42838267","Fatḥ rabb al-barīyah bi-talkīṣ al-Ḥammawīyah."
NjP,815934,"176832056|28327235","al-Mujallad al-thālith-[al-mujallad al-sābiʻ] min Madārik al-ʻUrwah /"
NjP,111175,"175385075|36678515","Safīnat al-najāh /"
NjP,1035665,"176347868|34301798","Majmūʻat al-abḥāth wa-al-maqālāt al-ʻArabīyah wa-al-Injilīzīyah /"
NjP,1245991,"16772476|30941265|177197861","Maqālāt al-Islāmīyīn wa-ikhtilāf al-musallīn ..."
NjP,478822,"26275716|175564148","Ajwibat al-masāʼil al-Bahbahānīyah allatī saʼalahā al-Sayyid ʻAbd Allāh al-Bilādī al-Baḥrānī /"
NjP,1196190,"39835655","Nihāyat al-dirāyah fī sharḥ al-risālah al-mawsūmah bi-al-Wajīzah lil-Bahāʾī /"
NjP,461976,"19051821","al-Fihrist /"
NjP,366755,"9300660","Asrār al-āyāt /"
NjP,479192,"33862114|175567143","al-Dhurrīyah al-ṭāhirah /"
NjP,465872,"11617293","al-Qawāʻid al-marʻīyah fī uṣūl al-ṭarīqah al-Rifāʻīyah /"
NjP,122755,"28489971|176380340|30081022","al-Muʻjam al-mufahras li-alfāẓ al-Qurʼān al-karīm /"
NjP,2836850,"42979908|178159046","Jāmiʻ al-shatāt."
NjP,1020691,"176301175|33932766","Mufradāt al-Qurʼān fī Majmaʻ al-bayān /"
NjP,1379615,"42946233","Tārīkh al-Shīʻah /"
NjP,440823,"25342918","al-Ṭarāʾif fī maʻrifat madhāhib al-ṭawāʾif /"
NjP,934832,"176316425|31707218","al-Dhakhīrah fī ʻilm al-kalām /"
NjP,4252634,"84662540|178608835","Kitāb Maghānim al-mujtahidīn fī ḥikam ṣalawat al-Jumʻah wa-al-ʻīdayn fī zamān al-ghaybah /"
NjP,657207,"25344930","Chahār farhangnāmah-ʾi kalamī :"
NjP,614800,"176031885|83039869","Kitāb al-Muḍārabah :"
NjP,4544187,"122780308|179204242","Kitāb Tamhīd al-uṣūl fī ʻilm al-kalām /"
NjP,316765,"175691718|80493348","Kāshif al-albās ʻan fayḍat al-khatm Abī al-ʻAbbās ; Tadhyīl Kāshif al-albās ʻan fayḍat al-khatm Abī al-ʻAbbās /"
NjP,1110484,"176506645|36264888","al-Islām wa-mutaṭallibāt al-ʻaṣr /"
NjP,2834606,"42906308","Tafsīr al-Qurʾān al-hakīm al-mushtahir bi-ism Tafsīr al-Manār ..."
NjP,614812,"176031955|83374705","Kitāb al-Nikāḥ :"
NjP,300722,"82579800|175560969","al-Bāʻith al-ḥathīth fī ikhtiṣār ʻulūm al-Ḥadīth /"
NjP,614793,"81365429|176031852","Kitāb al-Ṣawm :"
NjP,479552,"26285953|175570137","Fuṣūṣ al-ḥikam /"
NjP,277026,"20566136|175377706","Jāmiʻ al-ruwāh :"
NjP,1473089,"17854364|176847799","al-Murshid ilā āyāt al-Qurʼān al-Karīm wa-kalimātuh /"
NjP,1296066,"18953941|177011683","al-Jawāhir al-ghawālī min rasāʼil al-imām al-Ghazzālī /"
NjP,292398,"21712072|175494907","Qurrat al-ʻuyūn /"
NjP,248319,"213784079|175871155|8373934","al-Durrah al-fākhirah fī taḥqīq madhhab al-Ṣūfīyah wa-al-mutakallimīn wa-al-ḥukamāʼ al-mutaqaddimīn /"
NjP,1572889,"42942629|177257231","Ikhtiṣār ʻulūm al-ḥadīth,"
NjP,2834893,"42914991|178127342","al-Manhij al-ḥadīth fī muṣṭalaḥ al-Ḥadīth."
NjP,2786582,"42825927|178674799","ʻAbd Allāh Ibn Sabaʼ wa-asāṭīr ukhrā."
NjP,1466269,"42882111","Tarbīyat al-marʾah wa-al-ḥijāb ..."
NjP,501121,"175740628|26601074","al-Hijrah wa-al-jihād /"
NjP,439024,"25606515|175954743","al-Arbaʻūn ḥadīth /"
NjP,2753964,"18265639","Sharḥ hadīth al-nuzūl."
NjP,1545514,"12331823","Rijāl al-Kashshī /"
NjP,3339485,"178213005|15597813","Manāqib Āl Abī Ṭālib /"
NjP,2773601,"40494593|178490975","Kifāyat al-ṭālib fī manāqib Amīr al-Muʼminīn ʻAlī ibn Abī Ṭālib /"
NjP,614743,"26824509|176031531","Kitāb al-ṣalāh /"
NjP,1697221,"42646170|178010739","Kitāb al-lumaʻ fī al-taṣawwuf /"
NjP,614817,"31390679|176031988","Musnad al-Imām al-Kāẓim Abī al-Ḥasan Mūsá ibn Jaʻfar, ʻalayhimā al-salām /"
NjP,613367,"25336661","Qāmūs al-rijāl /"
NjP,813559,"176825633|28300321","Madārik al-ʻUrwah al-wuthqá :"
NjP,479575,"26285957","al-Tafsīr al-mawḍūʻī li-Nahj al-balāghah /"
NjP,822491,"176217976|28545240","Minhaj al-tabshīr :"
NjP,444496,"82533807|175994939","al-Jawāhir al-sanīyah fī al-aḥādīth al-qudsīyah /"
NjP,613360,"30478430","Sharḥ nahj al-balāghah :"
NjP,2767746,"178388080|29372333","Lubāb al-muḥaṣṣal fī uṣūl al-dīn,"
NjP,1660832,"42915542","al-Risalah al-Qushayrīyah."
NjP,441064,"175969406|24403897","Maṣāriʻ al-muṣāriʻ /"
NjP,419012,"175307791","al-Uṣūl min al-Kāfī /"
NjP,765545,"176618031|26985557","Asrār al-sharīʻah wa aṭwār al-ṭarīqah wa anwār al-ḥaqīqah /"
NjP,1538764,"30147344|177163435","Kitāb al-ghaybah /"
NjP,1601643,"177351185|23502559","Iqtiḍāʼ al-ṣirāṭ al-mustaqīm : mukhālafat aṣḥāb al-jaḥīm /"
NjP,2753521,"17993497|178199807","Jāmiʻ al-ruwāh wa-izāhat al-ishtibāhāt ʻan al-ṭuruq wa-al-ashad,"
NjP,2754917,"18969203","al-Uṣūl min al-Kāfī /"
NjP,505634,"175777158|22322314","Baḥth ḥawla al-Mahdī ʻajjalah Allāh farajah /"
NjP,901146,"30849913","Ṭabaqāt aʻlām al-Shīʻah /"
NjP,794859,"27799229","Muʻjam rijāl al-ḥadīth wa-tafṣīl ṭabaqāt al-ruwāh /"
NjP,1595368,"18370077|177338969","al-Jumal wa-al-ʻuqūd fī al-ʻibādāt /"
NjP,1563448,"42946585","Riḥlah ilā al-ḥaqq fī manāqib ..."
NjP,501867,"22324267|175746504","Madārik al-ʻUrwah /"
NjP,692605,"61627002|175801316|23696858","Mafātīḥ al-asrār wa-maṣābīḥ al-abrār /"
NjP,666428,"25346034","al-Fakhrī fī ansāb al-Ṭālibīn /"
NjP,1088645,"176669912|26454561","al-Iʻlām bi-manāqib al-Islām :"
NjP,974237,"32594446|176510316","Musnad Muḥammad ibn Qays al-Bajalī ḥawla qaḍāyā Amīr al-Muʼminīn wa-ghayrihā /"
NjP,438259,"175949018|78904621","al-Mujallad al-awwal [-al-rābiʻ] min kitāb al-Zakāh /"
NjP,753784,"25296085","al-Shāmil fī uṣūl al-dīn /"
NjP,1296415,"34520185|177012981","Kitāb al-arbaʻīn fī usūl al-dīn /"
