003/Inst,001/BSN,OCLC number(s),245a/Title
NjP,1484756,,"ʻAlī wa-al-Khulafāʾ :"
NjP,1690474,,"Mudhakkirāt Jamāl Bāshā al-Ssaffāḥ /"
NjP,1796574,,"Muntahā amāl al-khuṭabāʾ wa-manar al-mustarshidīn al-nubalāʾ."
NjP,2793437,,"al-Sayf al-mamdūd fī al-radd ʻalá aḥbār al-Yahūd /"
NjP,2795275,,"Qāla al-shaykh al-Imām al-ʻālim al-ʻallāmah al-humām khātimat al-muḥaqqiqīn ... Abū al-Ḥasan ʻAlī ibn ʻAbd al-Salām al-Tusūlī."
NjP,2843990,,"al-Waqāíʻ al-ʻIrāqīyah :"
NjP,2844465,,"al-Aḥwāl al-shakhṣīyah wa-idārat amwāl al-qāṣirīn /"
NjP,2850924,,"Āthārunā fī al-Iqlīm al-Sūrī, al-Jumhūrīyah al-ʻArabīyah al-Muttaḥidah :"
NjP,3328101,,"Ṣūrat qarār Maḥkamat Miṣr al-Ibtidāʾīyah al-Sharʻīyah bi-tārīkh 24 Māyū sanat 1922 :"
NjP,4104066,,"al-Qaḍāʾ wa-al-qadar :"
NjP,4214795,,"Qānūn al-ʻuqūbāt :"
NjP,4599837,,"Dīwān al-Shaykh ʻAbbās al-Mullā ʻAlī al-Baghdādī al-Najafī al-mutawaffá (1276 H) /"
NjP,673036,,"Tārīkh ahl al-bayt :"
NjP,7013897,,"Kitāb riwāyat Junfiyāf /"
NjP,861346,,"Qānūn taʻlīm madāfiʻ al-ḥiṣār /"
