RecordNumber	Tags	Indicators	Content	
1	LDR		01838nam a2200373Mi 4500
1	001		4214795
1	003		NjP
1	006		m\\\\\\\\d\\\\\\\\
1	007		cr\cn\|||m|||a
1	008		200430q1950\\\\sy\\\\\\ob\\\\000\0\ara\d
1	024	7\	$aprinceton_aco003770$2local
1	040	\\	$aZYU$bara$cZYU
1	043	\\	$aa-sy---
1	050	\4	$aKMU379.5$b.A33 1949
1	110	1\	$6880-01$aSyria.$bWizārat al-ʻAdl.$0http://id.loc.gov/authorities/names/n83056226
1	245	10	$6880-02$aQānūn al-ʻuqūbāt$h[electronic resource] :$bal-ṣādir bi-tārīkh 22 Ḥazīrān sanat 1949.
1	260	\\	$6880-03$a[Syria] :$bal-Maṭbaʻah wa-al-Jarīdah al-Rasmīyah,$c[195-?]
1	300	\\	$aonline resource (184 p.)
1	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
1	504	\\	$aIncludes bibliographical references.
1	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
1	650	\0	$aCriminal law$zSyria.
1	710	2\	$aPrinceton University.$bLibrary.
1	730	0\	$aArabic Collections Online.
1	776	08	$iPrint version:$aSyria. Wizārat al-ʻAdl. http://id.loc.gov/authorities/names/n83056226$tQānūn al-ʻuqūbāt$w(NjP)4214795
1	856	40	$uhttp://hdl.handle.net/2333.1/tqjq2nmf 
1	880	1\	$6110-01$aسوريا.$bوزارة العدل.$0http://id.loc.gov/authorities/names/n83056226
1	880	10	$6245-02$aقانون العقوبات :$bالصادر بتاريخ 22 حزيران سنة 1949.
1	880	\\	$6260-03$a[سوريا] :$bالمطبعة والجريدة الرسمية،$c[195؟]
1	904	\\	$allb$bo$hn$cb$e20040813
1	902	\\	$akc$bo$7m$dv$f1$e20060613
1	959	\\	$a2004-09-01 11:35:06 -0400
1	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
1	999	\\	$iNjP_4214795$sprinceton_aco003770:$e(ERROR-880)$sprinceton_aco003770:
			
2	LDR		02840nam a2200505Mi 4500
2	001		673036
2	003		NjP
2	006		m\\\\\\\\d\\\\\\\\
2	007		cr\cn\|||m|||a
2	008		200430s1989\\\\ir\a\\\\ob\\\\001\0\ara\d
2	024	7\	$aprinceton_aco002817$2local
2	040	\\	$aZYU$bara$cZYU
2	050	00	$aIN PROCESS
2	245	00	$6880-01$aTārīkh ahl al-bayt$h[electronic resource] :$bnaqlan ʻan al-aʾimmah al-Bāqir wa-al-Ṣādiq wa-al-Riḍā wa-al-ʻAskarī ʻan ābāʾihim /$cwa-bi-riwāyat Naṣr al-Jahḍamī ... [et al.] ; taḥqīq Muḥammad Riḍā al-Ḥusaynī.
2	250	\\	$6880-02$aal-Ṭabʻah 1.
2	260	\\	$6880-03$aQum :$bMuʾassasat Āl al-Bayt li-Iḥyāʾ al-Turāth,$c1410 [1989]
2	300	\\	$aonline resource (227 p.) :$bill.
2	490	1\	$6880-04$aMuʼassasat Āl al-Bayt li-Iḥyāʼ al-Turāth ;$v80
2	490	1\	$6880-05$aSilsilat maṣādir Biḥār al-anwār ;$v10
2	500	\\	$aOn the occasion of the 300th anniversary of the death of al-Majlisī, 1110 H.
2	500	\\	$aErrata leaf inserted.
2	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
2	504	\\	$aIncludes bibliographical references (p. 219-223) and indexes.
2	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
2	600	00	$aMuḥammad,$cProphet,$dd. 632$xCompanions.
2	700	1\	$6880-06$aḤusaynī, Muḥammad Riḍā.
2	710	2\	$aPrinceton University.$bLibrary.
2	730	0\	$aArabic Collections Online.
2	776	08	$iPrint version:$tTārīkh ahl al-bayt$w(NjP)673036$w(DLC)   90969765  
2	830	\0	$6880-07$aSilsilat maṣādir Biḥār al-anwār ;$v10.
2	830	\0	$6880-08$aMuʼassasat Āl al-Bayt li-Iḥyāʼ al-Turāth (Series) ;$v80.
2	856	40	$uhttp://hdl.handle.net/2333.1/r4xgxps3 
2	880	00	$6245-01$aتاريخ اهل البيت :$bنقلا عن الائمة الباقر والصادق والرضا والعسكري عن ابائهم /$cتحقيق مؤسسة آل البيت عليهم السلام لاحياء التراث.
2	880	\\	$6250-02$aالطبعة 1.
2	880	\\	$6260-03$aقم :$bمؤسسة آل البيت لااحياء التراث، $c1410 [1989]
2	880	1\	$6490-04$aمؤسسة آل البيت لااحياء التراث ؛$v80 
2	880	1\	$6490-05$aسلسلة مصادر بحار الانوار ؛$v10
2	880	1\	$6700-06$aحسيني، محمد رضا.
2	880	\0	$6830-07$aسلسلة مصادر بحار الانوار ؛$v10.
2	880	\0	$6830-08$aمؤسسة آل البيت لااحياء التراث  ؛$v80.
2	911	\\	$a19921028
2	912	\\	$a19910924000000.0
2	959	\\	$a2000-06-13 00:00:00 -0500
2	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
2	999	\\	$iNjP_673036$sprinceton_aco002817$e(ERROR-880)$sprinceton_aco002817
			
3	LDR		01773nam a2200385Mi 4500
3	001		1407137
3	003		NjP
3	006		m\\\\\\\\d\\\\\\\\
3	007		cr\cn\|||m|||a
3	008		200430s1954\\\\sy\\\\\\o\\\\\000\0\ara\d
3	040	\\	$aZYU$bara$erda$cZYU
3	043	\\	$aa-sy---
3	050	\4	$aDS98.3$b.A862
3	100	1\	$6880-01$aAtāsī, ʻAdnān.
3	245	10	$6880-02$aAzmat al-ḥukm fī Sūriyah /$cʻAdnān al-Atāsī.
3	260	\\	$6880-03$aḤimṣ :$bMaṭbaʻat wa zinkūghrāf al-maytam al-islāmī,$c1954.
3	300	\\	$aonline resource (159 pages)
3	336	\\	$atext$2rdacontent
3	337	\\	$acomputer$2rdamedia
3	338	\\	$aonline resource$2rdacarrier
3	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
3	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
3	651	\0	$aSyria$xPolitics and government.
3	650	\7	$aPolitics and government$2fast$0(OCoLC)fst01919741
3	651	\7	$aSyria.$2fast$0(OCoLC)fst01208757
3	710	2\	$aPrinceton University.$bLibrary.
3	730	0\	$aArabic Collections Online.
3	776	08	$iOnline version:$tAzmat al-hukm fi Suriyah.$dHims, 1954$w(OCoLC)551396247
3	776	08	$iPrint version:$aAtāsī, ʻAdnān.$tAzmat al-ḥukm fī Sūriyah$w(NjP)1407137$w(OCoLC)23519119
3	856	40	$uhttp://hdl.handle.net/2333.1/stqjqc4p 
3	880	1\	$6100-01$aاتاسي، عدنان.
3	880	10	$6245-02$aأزمة الحكم في سورية /$cعدنان الاتاسي.
