003/Inst,001/BSN,OCLC number(s),245a/Title
NjP,1014848,"32297700|176283875","Malāḥim al-Qurʼān /"
NjP,1015349,"33806647|176285350","al-Malāḥim wa-al-fitan fi ẓuhūr al-ghāʼib al-muntaẓar /"
NjP,1025681,"34031432","Risālah fī taʻyīn al-fajr fī al-layālī al-muqmirah /"
NjP,1025684,"34031447","al-Taḥaddī al-Islāmī /"
NjP,1027627,"34094838","al-Ṭifl :"
NjP,1027629,"34094840|176321593","al-Imām al-Ḥusayn fī ḥullat al-barfīr :"
NjP,1027658,"176321674|34094858","al-Imām al-Bāqir, ʻalayhi al-salām, qudwah wa-uswah /"
NjP,1035667,"34301803","Īqāẓ al-bashar bi-aʻlām al-khaṭar /"
NjP,1035670,"34301810|176347886","al-Imām ʻAlī, ʻalayhi al-salām, qudwah wa-uswah /"
NjP,1070350,"35143510","al-Wathīqah al-Islām al-khaṭar! :"
NjP,1070504,"35143550","Mültekayülebhur /"
NjP,1070529,"35143559","Ḥusaynīyah."
NjP,1071932,"35185536|176546575","al-Imām al-thālith, al-Imām al-Ḥusayn, ʻalayhi al-salām /"
NjP,1072112,"35185644|176547820","Durūs fī uṣūl al-dīn /"
NjP,1080251,"35398884|176595272","al-ʻAql al-basharī fī tafsīr al-Qurʼān /"
NjP,1080568,"176596919|35400393","Hādhā huwa al-juzʼ al-awwal[-al-juzʼ al-rābiʻ] min mustadrak Nahj al-balāghah al-mawsūm bi-Miṣbāḥ al-balāghah fī mishkāt al-ṣiyāghah /"
NjP,1106132,"36139906|176477590","Manṭiq al-istiqrāʼ /"
NjP,1117283,"176556177|36420745","Hādhā al-kitāb al-musammá bi-Mughnī al-faqīh fī al-fiqh al-nabīh /"
NjP,1117361,"176556720|36420792","Dhakhīrat al-ṣāliḥīn :"
NjP,1117926,"36463509","Faḍl al-Jumʻah wa-al-jamāʻah /"
NjP,1131805,"36783180","Sharḥ al-Bināʼ /"
NjP,1141220,"33996065","Aṣl al-anwāʻ wa-nushūʾihā bi-al-intikhāb al-ṭabīʻī ; wa-ḥifẓ al-ṣufūf al-ghālibah fī al-tanāḥur ʻalá al-baqāʾ /"
NjP,1149115,"176723147|37169379","Cilt-i seni Bab-ı daʼvaülrecleyn."
NjP,1166277,"37582215","al-Fiṭrah /"
NjP,1167498,"37581779","Kitāb al-Irth :"
