Field	Subfield	In Records	Total
000		300	300
001		300	300
003		300	300
005		296	296
008		300	300
010		25	25
	$a		25
019		4	4
	$a		7
020		3	3
	$z		2
	$c		1
024		300	300
	$a		300
	$2		300
035		299	1152
	$z		12
	$a		860
	$9		287
040		299	299
	$a		295
	$d		225
	$c		296
041		32	32
	$a		32
	$h		23
042		2	2
	$a		2
043		36	36
	$a		45
049		175	175
	$a		175
050		32	32
	$a		32
	$b		32
066		10	10
	$c		10
069		1	1
	$a		1
079		105	105
	$a		105
	$z		15
090		6	6
	$a		6
	$b		6
092		1	1
	$b		1
	$a		1
100		267	267
	$q		4
	$d		111
	$a		267
	$6		144
	$e		1
	$0		89
	$c		3
110		6	6
	$a		6
	$k		1
	$6		1
	$b		3
	$0		4
130		9	9
	$a		9
	$6		2
	$f		1
	$l		1
	$0		4
	$p		1
240		50	50
	$a		50
	$k		2
	$6		29
	$f		1
	$l		15
245		300	300
	$a		300
	$6		170
	$b		69
	$c		220
	$p		1
246		19	29
	$a		29
	$i		4
	$6		15
250		96	96
	$a		96
	$b		1
	$6		52
260		299	299
	$a		299
	$6		154
	$b		280
	$e		5
	$f		5
	$c		300
300		299	299
	$a		299
	$b		51
	$c		293
410		1	1
	$a		1
	$t		1
	$b		1
	$v		1
440		15	15
	$v		13
	$a		15
	$6		10
490		12	13
	$a		13
	$6		6
	$v		11
500		105	130
	$a		130
	$6		21
502		2	2
	$a		2
504		97	98
	$a		98
505		11	11
	$g		1
	$a		10
	$t		1
	$6		5
520		1	1
	$a		1
533		4	4
	$d		4
	$7		3
	$a		4
	$c		4
	$b		4
534		1	1
	$c		1
	$p		1
546		54	54
	$a		54
590		12	13
	$a		13
600		55	66
	$d		53
	$a		66
	$6		29
	$v		1
	$x		19
	$t		24
	$0		30
	$c		11
610		5	5
	$x		3
	$a		5
	$0		4
	$6		2
630		21	23
	$a		23
	$x		19
	$v		1
	$0		14
	$p		1
650		205	291
	$y		4
	$a		291
	$6		5
	$v		30
	$x		156
	$z		35
	$0		223
651		26	30
	$a		30
	$6		2
	$0		12
	$x		31
	$y		8
	$v		6
655		2	2
	$a		2
	$z		3
	$y		2
	$2		2
700		66	85
	$d		22
	$a		85
	$k		1
	$6		49
	$0		18
	$e		8
	$f		3
	$l		1
	$t		13
	$c		3
710		6	6
	$a		6
	$0		5
	$b		4
	$6		4
730		1	1
	$a		1
740		45	51
	$a		51
	$6		35
800		2	2
	$d		1
	$t		2
	$a		2
	$6		1
	$v		1
	$f		1
810		1	1
	$v		1
	$a		1
	$t		1
	$b		1
	$6		1
830		4	5
	$a		5
	$v		5
852		300	332
	$i		245
	$t		283
	$c		5
	$b		332
	$x		267
	$h		332
	$0		332
856		29	30
	$v		1
	$u		30
866		57	74
	$a		58
	$6		5
	$x		16
	$8		46
	$0		74
880		174	737
	$c		284
	$a		736
	$p		2
	$f		5
	$x		6
	$g		1
	$b		200
	$d		96
	$v		17
	$6		737
	$i		2
	$e		4
	$t		21
	$l		3
	$k		2
902		14	14
	$d		13
	$7		10
	$a		14
	$6		10
	$b		13
	$e		13
	$f		13
	$s		1
	$c		2
904		6	6
	$a		6
	$c		6
	$b		6
	$e		6
	$h		6
911		281	281
	$a		281
912		193	193
	$a		193
945		36	36
	$e		6
	$a		36
	$b		36
	$c		36
947		21	21
	$a		21
948		12	12
	$a		12
959		300	300
	$a		300
979		66	68
	$a		68
994		175	175
	$a		175
	$b		175
998		189	189
	$i		185
	$s		189
	$a		188
	$n		188
	$b		188
	$d		188
	$w		149
	$l		188
	$c		188
999		173	173
	$a		173
