b13142070,auc_aco000113
b14431440,auc_aco000174
b14013198,auc_aco000111
b13050898,auc_aco000153
b13027839,auc_aco000206
b12929098,auc_aco000133:'v.1'|auc_aco000134:'v.2'
b12904600,auc_aco000150
b12194359,auc_aco000157
b11839995,auc_aco000102
b12282212,auc_aco000176
b14395344,auc_aco000169
b14374110,auc_aco000191
b1440784x,auc_aco000175
b13142069,auc_aco000147:'v. 1'
b11886808,auc_aco000165
b12161627,auc_aco000210
b12262973,auc_aco000183
b12977081,auc_aco000107
b1327630x,auc_aco000155
b14395423,auc_aco000152
b13171616,auc_aco000188
b1313419x,auc_aco000170
b13916191,auc_aco000197
b1458475x,auc_aco000149
b13896775,auc_aco000132:'v.1-2'
b12251185,auc_aco000145
b14378528,auc_aco000163
b14405751,auc_aco000186
b12217372,auc_aco000057|auc_aco000078
b14499411,auc_aco000136
b12914113,auc_aco000142:'4 v. in 1'
b12989873,auc_aco000101
b14372228,auc_aco000202
b13064186,auc_aco000118
b13112739,auc_aco000144
b18402045,auc_aco000141
b12232002,auc_aco000112
b12868243,auc_aco000182
b14373336,auc_aco000164
b12123262,auc_aco000196
b11439075,auc_aco000189
b13130687,auc_aco000181
b1213384x,auc_aco000104
b12933235,auc_aco000143
b14003715,auc_aco000168
b15842071,auc_aco000160
b14013745,auc_aco000187
b13977829,auc_aco000110
b14392604,auc_aco000184
b1451848x,auc_aco000162
b1440896x,auc_aco000204
b11564428,auc_aco000190
b22291180,auc_aco000185
b12925536,auc_aco000084
b12328492,auc_aco000198
b14013174,auc_aco000126
b12977056,auc_aco000179
b14431579,auc_aco000146
b12236494,auc_aco000119
b14418125,auc_aco000173
b13047577,auc_aco000195
b12973026,auc_aco000105
b12224005,auc_aco000161
b1139870x,auc_aco000122
b12282194,auc_aco000194
b11628169,auc_aco000109
b13142124,auc_aco000076
b12231447,auc_aco000193
b11929030,auc_aco000100
b12233006,auc_aco000207
b13197770,auc_aco000108
b14390954,auc_aco000125
b11400262,auc_aco000199
b12946643,auc_aco000205
b12565131,auc_aco000208
b11479486,auc_aco000148
b12232701,auc_aco000116
b1398309x,auc_aco000159
b1295987x,auc_aco000082:'2 v. in 1'
b12854219,auc_aco000138
b12892658,auc_aco000137
b13286869,auc_aco000201
b1307555x,auc_aco000124
b13995777,auc_aco000079
b12968596,auc_aco000127
b13812403,auc_aco000140:'3 v. in 1'
b11960486,auc_aco000200:'v.1'
b12845206,auc_aco000083
b12895921,auc_aco000139
b12231459,auc_aco000180
b16809853,auc_aco000114
b11439233,auc_aco000120
b14374080,auc_aco000151
b14390681,auc_aco000171
b13025661,auc_aco000103
b12958669,auc_aco000086
b13995625,auc_aco000067
b14009961,auc_aco000130
b14009481,auc_aco000178
b14383822,auc_aco000203
b1216107x,auc_aco000128
b12940598,auc_aco000087
b13048715,auc_aco000154
b13348206,auc_aco000156
b13993732,auc_aco000085
b12224029,auc_aco000158
b11400006,auc_aco000135
b14420533,auc_aco000167
b12950749,auc_aco000080
b12926553,auc_aco000121:'v.1'
b13022696,auc_aco000192
b13231194,auc_aco000123
b13182171,auc_aco000172:'2 v. in 1'
b14011219,auc_aco000115
b12781435,auc_aco000177
b14001226,auc_aco000060
b14513249,auc_aco000106
