003/Inst,001/BSN,OCLC number(s),245a/Title
UaCaAUL,b1083459x,"122896466","Niẓām al-Atīnīyīn /"
UaCaAUL,b10834904,"318935737","Gharāmīyāt Kātūlūs :"
UaCaAUL,b10838867,"19888616","Majlis al-Khadamāt mundhu inshāʼih."
UaCaAUL,b11007916,"318937020","al-Ḥayāh al-adabīyah fī al-ʻaṣr al-ʻAbbāsī :"
UaCaAUL,b11039255,"311528253","Tārīkh al-adab al-ʻArabī fī al-ʻaṣr al-Jāhilī /"
UaCaAUL,b11403408,"122779424","Hādhā Kitāb sharḥ al-ustādh al-fāḍil wa-al-ʻālim al-kāmil al-Shaykh ʻAbd al-Razzāq al-Qāshānī ʻalá Fuṣūṣ al-ḥikam lil-ustādh al-akbar al-Shaykh Muḥyī al-Dīn ibn al-ʻArabī, taghammadahumā Allāh bi-al-raḥmah wa-al-raḍwān wa-askanahumā aʻlá farādīs al-jinān, āmīn."
UaCaAUL,b11436918,"11643317","al-Ghirbāl :"
UaCaAUL,b11492533,"1057470869","Naqḍ kitāb al-Islām wa-uṣūl al-ḥukm /"
UaCaAUL,b1152392x,"25655487","Kitāb al-aḥkām al-sharʻīyah fī al-aḥwāl al-shakhṣīyah ʻalá madhhab al-Imām Abī Ḥanīfah al-Nuʻmān."
UaCaAUL,b11551318,"68139754","Niẓām al-ʻālam wa-al-umam, aw al-Ḥikmah al-Islāmīyah al-ʻulyā /"
UaCaAUL,b11551628,"60508204","Muqaddimat al-nuqūd wa-al-tijārah al-khārijīyah /"
UaCaAUL,b11746981,"43226149","Al-muṣṭalaḥāt al-ʻilmīyah fī al-lughah al-ʻArabīyah :"
UaCaAUL,b1175297x,"35758983","Taḥīyat al-raʼīs fī manfāh :"
UaCaAUL,b11753365,"60498013","Tārīkh Miṣr al-iqtiṣādī fī al-ʻuṣūr al-ḥadīthah /"
UaCaAUL,b11757589,"24009701","Ṭalʻat Ḥarb /"
UaCaAUL,b11763437,"1104856417","Anīs al-julasāʼ fī sharḥ dīwān al-Khansāʼ ="
UaCaAUL,b11766694,"642481853","Mafātīḥ al-ʻulūm /"
UaCaAUL,b11791962,"60505872","al-Kanz fī qawāʻid al-lughah al-ʻIbrīyah /"
UaCaAUL,b11802996,"22094668","al-ʻImārah al-Islāmīyah fī Miṣr /"
UaCaAUL,b11854078,"42882111","Tarbīyat al-marʼah wa-al-ḥijāb /"
UaCaAUL,b11859556,"60505905","Anābīsh lughawīyah /"
UaCaAUL,b11868119,"45564857","Dīwān Jamīl Buthaynah /"
UaCaAUL,b11874594,"60505909","Dīwān Abī Nuwās /"
UaCaAUL,b11880156,"60498033","al-Usrah wa-al-mujtamaʻ /"
UaCaAUL,b11883558,"23513103","Fī al-ṭarīq /"
UaCaAUL,b11902607,"60508258","Muqaddimah fi al-nuqūd wa-al-bunūk /"
UaCaAUL,b11913988,"17054842","Taṭawwur al-iqtiṣādī fī Miṣr /"
UaCaAUL,b11923088,"17529044","Muḥammad Aḥmad al-Mahdī /"
UaCaAUL,b11932909,"145082485","ʻAlá Hāmish al-tārīkh al-Miṣrī al-qadīm /"
UaCaAUL,b11952222,"36465749","Ḥaṣād al-hashīm /"
UaCaAUL,b11961429,"40974961","Shiʻr al-ṭabīʻah fī al-adab al-ʻArabī /"
UaCaAUL,b1198367x,"1041876491","al-Juzʼ al-awwal min Kitāb asrār al-Ḥamāsah /"
UaCaAUL,b11997369,"60505993","al-Ẓilāl :"
UaCaAUL,b12004091,"43056494","Miṣr fī al-qarn al-thāmin ʻashar :"
UaCaAUL,b12009039,"29798480","al-Baṭālah wa-al-ʻimālah al-kāmilah /"
UaCaAUL,b12011617,"24810513","al-Jawārī /"
UaCaAUL,b12012403,"60506005","Kitāb al-tabaṣṣur bi-al-tijārah :"
UaCaAUL,b12014953,"122794952","al-Matḥaf al-Miṣrī /"
UaCaAUL,b12020138,"54165000","Naḥnu-- al-nisāʼ al-Miṣrīyāt! /"
UaCaAUL,b12020424,"32427464","Nafsīyat Abī Nuwās /"
UaCaAUL,b12021015,"37216958","Abū Nuwās al-Ḥasan ibn Hāniʼ :"
UaCaAUL,b12034241,"60498073","Ṭawq al-Ḥamāmah fī al-ulfah wa-al-ullāf /"
UaCaAUL,b12056856,"34528484","Kitāb fī fann al-qirāʼah wa-al-kalām wa-al-ilqāʼ /"
