b12441405,auc_aco001171:''''
b12768121,auc_aco001180:''''
b11933380,auc_aco001182:''''
b11792498,auc_aco001164:''''
b12334194,auc_aco001152:''''
b12221909,auc_aco001174:''''
b21433677,auc_aco001173:''''
b11870722,auc_aco001188:''''
b1211747x,auc_aco001155:''''
b12311480,auc_aco001169:''''
b12768297,auc_aco001184:''''
b11950584,auc_aco001185:''''
b13047498,auc_aco001166:''''
b12531923,auc_aco001183:''''
b28924812,auc_aco001165:''''
b13053620,auc_aco001190:''''
b12995241,auc_aco001153:''''
b1286285x,auc_aco001156:''''
b11956999,auc_aco001179:''''
b11843536,auc_aco001159:''v.1''|auc_aco001160:''v.2''
b12600477,auc_aco001157:''''
b11972312,auc_aco001163:''v.2''
b1242934x,auc_aco001189:''''
b12643099,auc_aco001149:''v.1''|auc_aco001150:''v.2''
b11854868,auc_aco001151:''''
b12958943,auc_aco001167:''''
b12768273,auc_aco001181:''''
b12532976,auc_aco001186:''''
b1192147x,auc_aco001154:''''
b12666671,auc_aco001176:''''
b12531248,auc_aco001178:''''
b12328030,auc_aco001177:''''
b13001905,auc_aco001172:''''
b1327014x,auc_aco001161:''v.1''|auc_aco001162:''v.2''
b12531807,auc_aco001175:''''
b11996870,auc_aco001191:''''
b12128235,auc_aco001187:''''
b12767268,auc_aco001158:''''
b12936285,auc_aco001170:''''
b12987591,auc_aco001168:''''
