003/Inst,001/BSN,OCLC number(s),245a/Title
aeadna,a35967,,"رحلات/"
aeadna,6638,,"على هامش التاريخ المصري القديم /"
aeadna,6624,,"كتاب سلافة العصر :"
aeadna,6651,,"حضارة الاسلام في دار السلام /"
aeadna,8260,,"مسند الإمام الشهيد زيد بن علي بن الحسين بن علي بن أبي طالب عليهم السلام؛ وهو ما رواه عن أبيه عن جده ، ويسمى المجموع الفقهي، لذكره بعض المسائل الفقهية[ويليه] هذه الصحيفة وتسمى مسند افمام علي الرضى بن موسى الكاظم بن جعفر الصادق بن محمد الباقر بن زين العابد بن الحسين بن امير المؤمنين علي بن أبي طالب سلام الله عليهم اجمعين."
aeadna,6212,,"المختصر في أخبار البشر :"
aeadna,6405,,"كتاب تقويم البلدان /"
aeadna,24301,,"سبائك الذهب في معرفة قبائل العرب /"
aeadna,6640,,"حقائق الأخبار عن دول البحار /"
aeadna,6643,,"الكافي في تاريخ مصر القديم والحديث /"
aeadna,6671,,"كتاب مشاهد الممالك :"
aeadna,a36705,,"جامع الزيتونة عمره الله."
aeadna,a21451,,"الجغرافيا العسكرية للشرق الاوسط/"
aeadna,a21463,,"تاريخ شرقي الأردن وقبائلها/"
